"Status","Year","Age","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Attorney General's Departments","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","East of England","10","10","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","London","10","10","23200","20980"
"In post","2023","16-19","Attorney General's Departments","North West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","South East (England)","10","10","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","South West (England)","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","West Midlands (England)","5","5","[c]","[c]"
"In post","2023","16-19","Attorney General's Departments","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2023","16-19","Cabinet Office","London","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","South West (England)","10","10","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs","North West (England)","5","5","[c]","[c]"
