"Status","Year","Age","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","20-29","Undeclared","Counter Fraud","35","35","31670","32520"
"In post","2023","20-29","Undeclared","Debt","15","15","[c]","[c]"
"In post","2023","20-29","Undeclared","Digital, Data & Technology","80","80","37890","35200"
"In post","2023","20-29","Undeclared","Finance","35","35","33970","33520"
"In post","2023","20-29","Undeclared","Grants Management","10","10","[c]","[c]"
"In post","2023","20-29","Undeclared","Human Resources","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Undeclared","Legal","20","20","[c]","[c]"
"In post","2023","20-29","Undeclared","No function","720","710","32220","30410"
"In post","2023","20-29","Undeclared","Project Delivery","50","50","37010","33970"
"In post","2023","20-29","Undeclared","Property","10","10","[c]","[c]"
"In post","2023","20-29","Undeclared","Security","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","Unknown","70","70","31940","30650"
"In post","2023","20-29","Unknown","Analysis","615","615","37080","35410"
"In post","2023","20-29","Unknown","Commercial","210","210","33330","32030"
"In post","2023","20-29","Unknown","Communications","230","230","37810","37000"
"In post","2023","20-29","Unknown","Counter Fraud","390","385","31390","28130"
"In post","2023","20-29","Unknown","Debt","545","525","23460","22520"
"In post","2023","20-29","Unknown","Digital, Data & Technology","1000","990","35520","34400"
"In post","2023","20-29","Unknown","Finance","375","365","32420","28650"
"In post","2023","20-29","Unknown","Grants Management","95","95","24630","22150"
"In post","2023","20-29","Unknown","Human Resources","300","295","31520","28770"
"In post","2023","20-29","Unknown","Internal Audit","5","5","[c]","[c]"
"In post","2023","20-29","Unknown","Legal","205","200","33080","28950"
"In post","2023","20-29","Unknown","No function","14820","14565","29270","27230"
"In post","2023","20-29","Unknown","Project Delivery","570","565","35430","34700"
"In post","2023","20-29","Unknown","Property","360","350","28990","26920"
"In post","2023","20-29","Unknown","Security","445","445","29390","27480"
"In post","2023","20-29","Unknown","Unknown","1830","1805","30730","29100"
"In post","2023","20-29","White","Analysis","2455","2440","37950","35530"
"In post","2023","20-29","White","Commercial","810","810","35900","32660"
"In post","2023","20-29","White","Communications","490","485","36090","34400"
"In post","2023","20-29","White","Counter Fraud","1140","1130","30320","28120"
"In post","2023","20-29","White","Debt","720","700","23520","22520"
"In post","2023","20-29","White","Digital, Data & Technology","2345","2330","35190","33990"
"In post","2023","20-29","White","Finance","1000","990","33520","31920"
"In post","2023","20-29","White","Grants Management","300","295","24290","22150"
"In post","2023","20-29","White","Human Resources","1075","1065","33450","31060"
"In post","2023","20-29","White","Internal Audit","30","30","[c]","[c]"
"In post","2023","20-29","White","Legal","1255","1245","33270","28200"
"In post","2023","20-29","White","No function","30875","30405","30620","28510"
"In post","2023","20-29","White","Project Delivery","2245","2235","34770","32910"
"In post","2023","20-29","White","Property","615","610","30480","28220"
"In post","2023","20-29","White","Security","760","760","30560","28550"
"In post","2023","20-29","White","Unknown","3480","3450","31920","30130"
"In post","2023","30-39","Asian","Analysis","220","215","47890","43690"
"In post","2023","30-39","Asian","Commercial","130","130","46480","41360"
"In post","2023","30-39","Asian","Communications","55","55","42030","41100"
"In post","2023","30-39","Asian","Counter Fraud","370","360","33980","32520"
"In post","2023","30-39","Asian","Debt","250","225","23580","22520"
"In post","2023","30-39","Asian","Digital, Data & Technology","615","605","44490","41780"
"In post","2023","30-39","Asian","Finance","320","310","42180","39150"
"In post","2023","30-39","Asian","Grants Management","10","10","[c]","[c]"
"In post","2023","30-39","Asian","Human Resources","205","195","37220","35410"
"In post","2023","30-39","Asian","Internal Audit","20","20","[c]","[c]"
"In post","2023","30-39","Asian","Legal","415","395","46110","51390"
"In post","2023","30-39","Asian","No function","6310","5940","33270","30000"
"In post","2023","30-39","Asian","Project Delivery","400","390","43800","41070"
"In post","2023","30-39","Asian","Property","90","90","38590","36680"
"In post","2023","30-39","Asian","Security","85","80","39930","36620"
"In post","2023","30-39","Asian","Unknown","195","185","39570","38400"
"In post","2023","30-39","Black","Analysis","70","70","41310","39820"
"In post","2023","30-39","Black","Commercial","60","60","44130","41550"
"In post","2023","30-39","Black","Communications","25","25","[c]","[c]"
"In post","2023","30-39","Black","Counter Fraud","130","125","33230","32520"
"In post","2023","30-39","Black","Debt","55","55","23580","22520"
"In post","2023","30-39","Black","Digital, Data & Technology","240","240","41290","39110"
"In post","2023","30-39","Black","Finance","85","80","40280","38790"
"In post","2023","30-39","Black","Grants Management","5","5","[c]","[c]"
"In post","2023","30-39","Black","Human Resources","85","85","38430","36180"
"In post","2023","30-39","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Black","Legal","155","150","42080","43660"
"In post","2023","30-39","Black","No function","2380","2280","33060","32010"
"In post","2023","30-39","Black","Project Delivery","170","170","44760","42140"
"In post","2023","30-39","Black","Property","30","30","[c]","[c]"
"In post","2023","30-39","Black","Security","20","20","[c]","[c]"
"In post","2023","30-39","Black","Unknown","50","50","36310","34730"
"In post","2023","30-39","Mixed","Analysis","70","70","49990","51460"
"In post","2023","30-39","Mixed","Commercial","35","35","44270","41200"
"In post","2023","30-39","Mixed","Communications","45","40","47130","41870"
"In post","2023","30-39","Mixed","Counter Fraud","100","95","34870","32520"
"In post","2023","30-39","Mixed","Debt","35","30","23770","22520"
"In post","2023","30-39","Mixed","Digital, Data & Technology","140","140","44220","41730"
"In post","2023","30-39","Mixed","Finance","80","75","43410","41210"
"In post","2023","30-39","Mixed","Grants Management","10","10","[c]","[c]"
"In post","2023","30-39","Mixed","Human Resources","80","75","42110","39150"
"In post","2023","30-39","Mixed","Internal Audit","5","5","[c]","[c]"
"In post","2023","30-39","Mixed","Legal","95","90","49820","52230"
"In post","2023","30-39","Mixed","No function","1810","1720","36560","32520"
"In post","2023","30-39","Mixed","Project Delivery","120","120","46190","41950"
"In post","2023","30-39","Mixed","Property","20","20","[c]","[c]"
"In post","2023","30-39","Mixed","Security","30","30","36960","36360"
"In post","2023","30-39","Mixed","Unknown","115","110","41720","39810"
"In post","2023","30-39","Other ethnicity","Analysis","25","25","[c]","[c]"
"In post","2023","30-39","Other ethnicity","Commercial","10","10","[c]","[c]"
"In post","2023","30-39","Other ethnicity","Communications","10","10","[c]","[c]"
"In post","2023","30-39","Other ethnicity","Counter Fraud","10","10","[c]","[c]"
"In post","2023","30-39","Other ethnicity","Debt","5","5","[c]","[c]"
"In post","2023","30-39","Other ethnicity","Digital, Data & Technology","40","40","42110","41240"
"In post","2023","30-39","Other ethnicity","Finance","15","15","[c]","[c]"
"In post","2023","30-39","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Other ethnicity","Human Resources","15","15","[c]","[c]"
"In post","2023","30-39","Other ethnicity","Internal Audit","5","5","[c]","[c]"
"In post","2023","30-39","Other ethnicity","Legal","40","40","53790","53440"
"In post","2023","30-39","Other ethnicity","No function","445","435","37940","34170"
"In post","2023","30-39","Other ethnicity","Project Delivery","35","35","50030","49700"
"In post","2023","30-39","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Other ethnicity","Security","10","10","[c]","[c]"
"In post","2023","30-39","Other ethnicity","Unknown","25","25","[c]","[c]"
"In post","2023","30-39","Undeclared","Analysis","95","95","46610","43750"
"In post","2023","30-39","Undeclared","Commercial","55","55","47740","42960"
"In post","2023","30-39","Undeclared","Communications","25","25","[c]","[c]"
"In post","2023","30-39","Undeclared","Counter Fraud","95","95","35590","32540"
"In post","2023","30-39","Undeclared","Debt","30","25","[c]","[c]"
"In post","2023","30-39","Undeclared","Digital, Data & Technology","240","235","44320","42160"
"In post","2023","30-39","Undeclared","Finance","100","100","43220","38470"
"In post","2023","30-39","Undeclared","Grants Management","20","20","[c]","[c]"
"In post","2023","30-39","Undeclared","Human Resources","80","75","41240","39820"
"In post","2023","30-39","Undeclared","Legal","75","75","48540","51270"
"In post","2023","30-39","Undeclared","No function","2080","1990","35640","32160"
"In post","2023","30-39","Undeclared","Project Delivery","155","155","47050","43750"
"In post","2023","30-39","Undeclared","Property","35","35","36070","33980"
"In post","2023","30-39","Undeclared","Security","70","70","39050","40810"
"In post","2023","30-39","Undeclared","Unknown","165","165","43200","40410"
"In post","2023","30-39","Unknown","Analysis","325","320","45210","41540"
"In post","2023","30-39","Unknown","Commercial","200","195","40480","38760"
"In post","2023","30-39","Unknown","Communications","260","255","46750","43750"
"In post","2023","30-39","Unknown","Counter Fraud","590","575","33370","32260"
"In post","2023","30-39","Unknown","Debt","385","355","23710","22520"
"In post","2023","30-39","Unknown","Digital, Data & Technology","1225","1200","43140","39650"
"In post","2023","30-39","Unknown","Finance","400","385","41390","38470"
"In post","2023","30-39","Unknown","Grants Management","115","105","25690","22150"
"In post","2023","30-39","Unknown","Human Resources","440","425","39240","35410"
"In post","2023","30-39","Unknown","Internal Audit","10","10","[c]","[c]"
"In post","2023","30-39","Unknown","Legal","350","335","47690","50830"
"In post","2023","30-39","Unknown","No function","13545","12880","32940","28490"
"In post","2023","30-39","Unknown","Project Delivery","700","680","44770","42140"
"In post","2023","30-39","Unknown","Property","320","310","33360","31310"
"In post","2023","30-39","Unknown","Security","460","455","35180","33020"
"In post","2023","30-39","Unknown","Unknown","2040","1975","38110","34730"
"In post","2023","30-39","White","Analysis","2070","1985","47720","44770"
"In post","2023","30-39","White","Commercial","1275","1240","45130","41200"
"In post","2023","30-39","White","Communications","805","775","46130","43650"
"In post","2023","30-39","White","Counter Fraud","2235","2150","34310","32540"
"In post","2023","30-39","White","Debt","830","760","24900","22520"
"In post","2023","30-39","White","Digital, Data & Technology","3910","3820","42770","39820"
"In post","2023","30-39","White","Finance","1635","1575","42380","38470"
"In post","2023","30-39","White","Grants Management","330","310","26940","22150"
"In post","2023","30-39","White","Human Resources","2110","2020","39000","35000"
"In post","2023","30-39","White","Internal Audit","85","80","44310","42700"
"In post","2023","30-39","White","Legal","2020","1920","49830","52360"
"In post","2023","30-39","White","No function","46860","44465","34850","31510"
"In post","2023","30-39","White","Project Delivery","3620","3510","44710","41800"
"In post","2023","30-39","White","Property","925","900","37170","34300"
"In post","2023","30-39","White","Security","1230","1215","35080","33020"
"In post","2023","30-39","White","Unknown","4965","4770","41120","38520"
"In post","2023","40-49","Asian","Analysis","150","140","50570","49700"
"In post","2023","40-49","Asian","Commercial","125","120","50310","43750"
"In post","2023","40-49","Asian","Communications","50","45","49230","44000"
"In post","2023","40-49","Asian","Counter Fraud","365","345","33420","32520"
"In post","2023","40-49","Asian","Debt","195","160","24230","22520"
"In post","2023","40-49","Asian","Digital, Data & Technology","650","640","47370","43210"
"In post","2023","40-49","Asian","Finance","335","320","43380","39790"
"In post","2023","40-49","Asian","Grants Management","25","25","[c]","[c]"
"In post","2023","40-49","Asian","Human Resources","230","220","41730","38460"
"In post","2023","40-49","Asian","Internal Audit","40","40","49220","45400"
"In post","2023","40-49","Asian","Legal","410","375","50190","53530"
"In post","2023","40-49","Asian","No function","6185","5630","33820","29890"
"In post","2023","40-49","Asian","Project Delivery","410","400","47020","42510"
"In post","2023","40-49","Asian","Property","110","105","39720","36780"
"In post","2023","40-49","Asian","Security","110","105","38360","35530"
"In post","2023","40-49","Asian","Unknown","165","155","42970","39690"
"In post","2023","40-49","Black","Analysis","55","55","45410","41590"
"In post","2023","40-49","Black","Commercial","40","40","48070","41800"
"In post","2023","40-49","Black","Communications","20","20","[c]","[c]"
"In post","2023","40-49","Black","Counter Fraud","130","125","33410","32520"
"In post","2023","40-49","Black","Debt","60","55","24750","22520"
"In post","2023","40-49","Black","Digital, Data & Technology","255","255","42620","40000"
"In post","2023","40-49","Black","Finance","130","130","41870","40780"
"In post","2023","40-49","Black","Grants Management","10","10","[c]","[c]"
"In post","2023","40-49","Black","Human Resources","105","105","39510","36310"
"In post","2023","40-49","Black","Internal Audit","5","5","[c]","[c]"
"In post","2023","40-49","Black","Legal","130","125","45690","49050"
"In post","2023","40-49","Black","No function","2610","2475","33890","31510"
"In post","2023","40-49","Black","Project Delivery","230","230","43630","40790"
"In post","2023","40-49","Black","Property","35","35","40230","38060"
"In post","2023","40-49","Black","Security","40","40","37000","38280"
"In post","2023","40-49","Black","Unknown","65","60","42270","39150"
"In post","2023","40-49","Mixed","Analysis","50","45","51500","50610"
"In post","2023","40-49","Mixed","Commercial","35","35","56200","53030"
"In post","2023","40-49","Mixed","Communications","20","20","[c]","[c]"
"In post","2023","40-49","Mixed","Counter Fraud","55","50","37730","34170"
"In post","2023","40-49","Mixed","Debt","20","15","[c]","[c]"
"In post","2023","40-49","Mixed","Digital, Data & Technology","95","95","47630","45150"
"In post","2023","40-49","Mixed","Finance","55","55","46770","41950"
"In post","2023","40-49","Mixed","Grants Management","5","5","[c]","[c]"
"In post","2023","40-49","Mixed","Human Resources","70","65","43880","41350"
"In post","2023","40-49","Mixed","Internal Audit","5","5","[c]","[c]"
"In post","2023","40-49","Mixed","Legal","100","95","54650","54990"
"In post","2023","40-49","Mixed","No function","1320","1245","37670","32520"
"In post","2023","40-49","Mixed","Project Delivery","105","105","49640","45540"
"In post","2023","40-49","Mixed","Property","30","25","37720","33480"
"In post","2023","40-49","Mixed","Security","35","35","40420","38220"
"In post","2023","40-49","Mixed","Unknown","85","80","49040","45350"
"In post","2023","40-49","Other ethnicity","Analysis","20","20","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Commercial","10","5","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Communications","5","5","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Counter Fraud","15","15","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Debt","5","5","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Digital, Data & Technology","35","35","50230","42140"
"In post","2023","40-49","Other ethnicity","Finance","10","10","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Human Resources","20","20","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Legal","25","25","[c]","[c]"
"In post","2023","40-49","Other ethnicity","No function","435","410","39020","33800"
"In post","2023","40-49","Other ethnicity","Project Delivery","30","30","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Security","10","10","[c]","[c]"
"In post","2023","40-49","Other ethnicity","Unknown","20","20","[c]","[c]"
"In post","2023","40-49","Undeclared","Analysis","90","90","52170","49260"
"In post","2023","40-49","Undeclared","Commercial","70","70","51480","43280"
"In post","2023","40-49","Undeclared","Communications","30","30","43920","39650"
"In post","2023","40-49","Undeclared","Counter Fraud","180","175","37250","34700"
"In post","2023","40-49","Undeclared","Debt","50","45","24340","22520"
"In post","2023","40-49","Undeclared","Digital, Data & Technology","280","275","46440","42510"
"In post","2023","40-49","Undeclared","Finance","140","140","45430","42400"
"In post","2023","40-49","Undeclared","Grants Management","60","55","27220","25920"
"In post","2023","40-49","Undeclared","Human Resources","100","100","37950","34300"
"In post","2023","40-49","Undeclared","Internal Audit","10","10","[c]","[c]"
"In post","2023","40-49","Undeclared","Legal","100","95","56760","57970"
"In post","2023","40-49","Undeclared","No function","2770","2615","36050","32060"
"In post","2023","40-49","Undeclared","Project Delivery","230","220","49250","46170"
"In post","2023","40-49","Undeclared","Property","85","80","41300","39140"
"In post","2023","40-49","Undeclared","Security","120","120","38700","40880"
"In post","2023","40-49","Undeclared","Unknown","200","195","46750","44590"
"In post","2023","40-49","Unknown","Analysis","155","145","48660","46840"
"In post","2023","40-49","Unknown","Commercial","150","145","47540","42140"
"In post","2023","40-49","Unknown","Communications","150","140","51910","48710"
"In post","2023","40-49","Unknown","Counter Fraud","420","400","34350","32610"
"In post","2023","40-49","Unknown","Debt","250","230","24090","22520"
"In post","2023","40-49","Unknown","Digital, Data & Technology","930","910","47340","43760"
"In post","2023","40-49","Unknown","Finance","330","320","43890","40880"
"In post","2023","40-49","Unknown","Grants Management","130","115","26580","22150"
"In post","2023","40-49","Unknown","Human Resources","405","390","43370","38810"
