"Status","Year","Ethnicity","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","London","Female","8970","8315","39500","34770"
"In post","2023","Asian","London","Male","6085","5960","40850","36030"
"In post","2023","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Outside London","Female","10530","9440","30360","28120"
"In post","2023","Asian","Outside London","Male","9530","9225","32060","28120"
"In post","2023","Asian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","Female","75","75","49800","51510"
"In post","2023","Asian","Overseas","Male","95","95","53490","55030"
"In post","2023","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Unknown","Female","35","30","32790","28050"
"In post","2023","Asian","Unknown","Male","35","35","34930","28120"
"In post","2023","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","London","Female","6905","6585","36860","32520"
"In post","2023","Black","London","Male","3405","3345","37930","34060"
"In post","2023","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Outside London","Female","3940","3680","30770","28120"
"In post","2023","Black","Outside London","Male","2940","2875","32790","29570"
"In post","2023","Black","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Overseas","Female","35","35","45570","40240"
"In post","2023","Black","Overseas","Male","30","30","51530","53500"
"In post","2023","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Unknown","Female","20","20","[c]","[c]"
"In post","2023","Black","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","London","Female","2175","2075","42930","38680"
"In post","2023","Mixed","London","Male","1435","1415","44550","39700"
"In post","2023","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Outside London","Female","3480","3220","32160","28120"
"In post","2023","Mixed","Outside London","Male","2475","2405","34930","31270"
"In post","2023","Mixed","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Overseas","Female","65","65","46970","41880"
"In post","2023","Mixed","Overseas","Male","65","65","52430","51280"
"In post","2023","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Mixed","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Mixed","Unknown","Male","10","10","[c]","[c]"
"In post","2023","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","London","Female","800","760","42130","36380"
"In post","2023","Other ethnicity","London","Male","600","590","45560","39450"
"In post","2023","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Outside London","Female","690","640","32740","28880"
"In post","2023","Other ethnicity","Outside London","Male","685","660","34950","31510"
"In post","2023","Other ethnicity","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Overseas","Female","15","15","[c]","[c]"
"In post","2023","Other ethnicity","Overseas","Male","30","30","[c]","[c]"
"In post","2023","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","London","Female","2015","1870","41780","36180"
"In post","2023","Undeclared","London","Male","2415","2350","48020","43210"
"In post","2023","Undeclared","Outside London","Female","5750","5090","32460","28120"
"In post","2023","Undeclared","Outside London","Male","8865","8455","36110","33170"
"In post","2023","Undeclared","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","Female","55","55","50190","54730"
"In post","2023","Undeclared","Overseas","Male","115","115","52620","50000"
"In post","2023","Undeclared","Unknown","Female","15","15","[c]","[c]"
"In post","2023","Undeclared","Unknown","Male","30","30","33750","33220"
"In post","2023","Unknown","London","Female","8585","8280","42810","37350"
"In post","2023","Unknown","London","Male","7550","7435","44600","39790"
"In post","2023","Unknown","Outside London","Female","29650","27250","30090","27080"
"In post","2023","Unknown","Outside London","Male","28675","27805","32210","28130"
"In post","2023","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Overseas","Female","325","325","54530","54330"
"In post","2023","Unknown","Overseas","Male","300","300","55080","55060"
"In post","2023","Unknown","Unknown","Female","255","250","37370","34580"
"In post","2023","Unknown","Unknown","Male","1645","1635","41690","39560"
"In post","2023","White","London","Female","27255","25770","48660","43750"
"In post","2023","White","London","Male","25535","25035","50700","45960"
"In post","2023","White","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Outside London","Female","170810","153920","32940","28130"
"In post","2023","White","Outside London","Male","131785","127040","35770","32160"
"In post","2023","White","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Overseas","Female","910","905","54130","53970"
"In post","2023","White","Overseas","Male","1395","1395","53440","52170"
"In post","2023","White","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Unknown","Female","325","305","35330","28880"
"In post","2023","White","Unknown","Male","315","300","38460","34220"
"In post","2023","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","London","Female","700","[c]","36580","32520"
"Leaver CS","2023","Asian","London","Male","570","[c]","38610","32520"
"Leaver CS","2023","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Outside London","Female","745","[c]","28990","27340"
"Leaver CS","2023","Asian","Outside London","Male","730","[c]","30930","27570"
"Leaver CS","2023","Asian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","London","Female","730","[c]","34580","31060"
"Leaver CS","2023","Black","London","Male","315","[c]","37510","32520"
"Leaver CS","2023","Black","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Outside London","Female","470","[c]","30460","28120"
"Leaver CS","2023","Black","Outside London","Male","340","[c]","32450","29290"
"Leaver CS","2023","Black","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","London","Female","270","[c]","38970","33570"
"Leaver CS","2023","Mixed","London","Male","160","[c]","40560","35300"
"Leaver CS","2023","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Outside London","Female","305","[c]","29450","27570"
"Leaver CS","2023","Mixed","Outside London","Male","260","[c]","32060","28120"
"Leaver CS","2023","Mixed","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","London","Female","95","[c]","38760","33120"
"Leaver CS","2023","Other ethnicity","London","Male","80","[c]","44350","35790"
"Leaver CS","2023","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Outside London","Female","80","[c]","29300","24740"
"Leaver CS","2023","Other ethnicity","Outside London","Male","60","[c]","37000","28570"
"Leaver CS","2023","Other ethnicity","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Other ethnicity","Overseas","Male","[c]","[c]","[c]","[c]"
