"Status","Year","Age","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Sunderland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Suffolk CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Manchester","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Plymouth","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","South Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Darlington","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Economics","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Westminster","London","10","10","27820","28510"
"In post","2023","16-19","Economics","Wolverhampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","15","15","19540","19460"
"In post","2023","16-19","Finance","Buckinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Milton Keynes","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Finance","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Cardiff and Vale of Glamorgan","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Human Resources","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Lincolnshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","International Trade","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Aberdeen City and Aberdeenshire","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Birmingham","Outside London","40","35","22810","22500"
"In post","2023","16-19","Operational Delivery","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Bradford","Outside London","20","20","22300","22520"
"In post","2023","16-19","Operational Delivery","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Bristol, City of","Outside London","15","15","22800","22510"
"In post","2023","16-19","Operational Delivery","Buckinghamshire","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Cambridgeshire CC","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Cardiff and Vale of Glamorgan","Outside London","15","15","22960","22520"
"In post","2023","16-19","Operational Delivery","Central Hampshire","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Chorley and West Lancashire","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Operational Delivery","City of Edinburgh","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Croydon","London","10","10","27190","26920"
"In post","2023","16-19","Operational Delivery","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Devon CC","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Dorset","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Durham","Outside London","25","25","25100","23230"
"In post","2023","16-19","Operational Delivery","East Ayrshire and North Ayrshire mainland","Outside London","10","10","19850","18780"
"In post","2023","16-19","Operational Delivery","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","East Kent","Outside London","40","40","23350","22400"
"In post","2023","16-19","Operational Delivery","East Riding of Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Operational Delivery","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Falkirk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Flintshire and Wrexham","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Glasgow City","Outside London","10","5","22550","22520"
"In post","2023","16-19","Operational Delivery","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Greater Manchester North West","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Greater Manchester South East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Greater Manchester South West","Outside London","10","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Gwynedd","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Harrow and Hillingdon","London","15","15","26990","26400"
"In post","2023","16-19","Operational Delivery","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Heart of Essex","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Hertfordshire CC","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Hounslow and Richmond upon Thames","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Isle of Wight","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Kent Thames Gateway","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Kingston upon Hull, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Lambeth","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Leeds","Outside London","35","30","24510","23230"
"In post","2023","16-19","Operational Delivery","Leicester","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Leicestershire CC and Rutland","Outside London","15","15","24650","23230"
"In post","2023","16-19","Operational Delivery","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Lincolnshire CC","Outside London","10","10","25630","24070"
