"Status","Year","Age","Ethnicity","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East of England","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","London","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","London","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","London","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","London","Lambeth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","London","Tower Hamlets","5","5","[c]","[c]"
"In post","2023","16-19","Asian","London","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","London","Westminster","15","15","[c]","[c]"
"In post","2023","16-19","Asian","North East (England)","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North East (England)","Durham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North East (England)","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North East (England)","South Teesside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North East (England)","Sunderland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Greater Manchester South West","5","5","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Manchester","5","5","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Warrington","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","North West (England)","Wirral","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Northern Ireland","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
