"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","AA/AO","Heterosexual / straight","205","190","23270","24320"
"In post","2023","Asian","Attorney General's Departments","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","AA/AO","Unknown","30","25","23580","23650"
"In post","2023","Asian","Attorney General's Departments","EO","Heterosexual / straight","210","200","28260","28170"
"In post","2023","Asian","Attorney General's Departments","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","G6/G7","Heterosexual / straight","470","440","57760","54230"
"In post","2023","Asian","Attorney General's Departments","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","G6/G7","Unknown","55","50","60040","59570"
"In post","2023","Asian","Attorney General's Departments","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SEO/HEO","Heterosexual / straight","155","150","37890","38760"
"In post","2023","Asian","Attorney General's Departments","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","EO","Heterosexual / straight","70","65","27660","28370"
"In post","2023","Asian","Cabinet Office","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","G6/G7","Heterosexual / straight","205","205","60980","58430"
"In post","2023","Asian","Cabinet Office","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
