"Status","Year","Age","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","East Midlands (England)","Leicester","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Leicestershire CC and Rutland","15","15","24000","23230"
"In post","2023","16-19","East Midlands (England)","Lincolnshire CC","15","15","24840","23230"
"In post","2023","16-19","East Midlands (England)","North Nottinghamshire","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Nottingham","30","30","23870","22520"
"In post","2023","16-19","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","South and West Derbyshire","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Cambridgeshire CC","10","10","25260","24070"
"In post","2023","16-19","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Heart of Essex","10","10","[c]","[c]"
"In post","2023","16-19","East of England","Hertfordshire CC","5","5","[c]","[c]"
"In post","2023","16-19","East of England","North and West Norfolk","5","5","[c]","[c]"
"In post","2023","16-19","East of England","Norwich and East Norfolk","5","5","[c]","[c]"
"In post","2023","16-19","East of England","Peterborough","10","5","[c]","[c]"
"In post","2023","16-19","East of England","Suffolk CC","15","10","23710","23230"
"In post","2023","16-19","East of England","Thurrock","5","5","[c]","[c]"
"In post","2023","16-19","London","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Croydon","20","15","27420","26920"
"In post","2023","16-19","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Harrow and Hillingdon","15","15","26990","26400"
"In post","2023","16-19","London","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Lambeth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Tower Hamlets","10","10","25670","25280"
"In post","2023","16-19","London","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Westminster","60","60","26990","27820"
"In post","2023","16-19","North East (England)","Darlington","10","10","[c]","[c]"
"In post","2023","16-19","North East (England)","Durham","25","25","25100","23230"
