"Status","Year","Profession_of_post","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","110","105","42000","40090"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","85","85","45610","42910"
"In post","2023","Commercial","Cheshire","Outside London","Female","30","25","[c]","[c]"
"In post","2023","Commercial","Cheshire","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Cumbria","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Cumbria","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Outside London","Female","65","60","44820","41590"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Outside London","Male","40","40","55240","52150"
"In post","2023","Commercial","Devon","Outside London","Female","50","50","42520","40420"
"In post","2023","Commercial","Devon","Outside London","Male","35","30","48510","43010"
"In post","2023","Commercial","Dorset and Somerset","Outside London","Female","35","35","41280","42620"
"In post","2023","Commercial","Dorset and Somerset","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Commercial","East Anglia","Outside London","Female","140","130","43610","40620"
"In post","2023","Commercial","East Anglia","Outside London","Male","100","95","48230","40620"
"In post","2023","Commercial","East Wales","Outside London","Female","105","100","39430","34680"
"In post","2023","Commercial","East Wales","Outside London","Male","100","95","41210","37760"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Eastern Scotland","Outside London","Female","45","45","37460","34000"
"In post","2023","Commercial","Eastern Scotland","Outside London","Male","55","55","39900","37060"
"In post","2023","Commercial","Essex","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Essex","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","845","790","41530","39470"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","755","745","45850","42620"
"In post","2023","Commercial","Greater Manchester","Outside London","Female","200","195","47990","41260"
"In post","2023","Commercial","Greater Manchester","Outside London","Male","165","165","51030","43830"
"In post","2023","Commercial","Hampshire and Isle of Wight","Outside London","Female","175","170","40250","35800"
"In post","2023","Commercial","Hampshire and Isle of Wight","Outside London","Male","125","120","45850","41200"
"In post","2023","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Highlands and Islands","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Highlands and Islands","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Inner London - East","London","Female","90","85","48830","44440"
"In post","2023","Commercial","Inner London - East","London","Male","95","95","57060","48030"
"In post","2023","Commercial","Inner London - West","London","Female","630","615","57170","55740"
"In post","2023","Commercial","Inner London - West","London","Male","670","660","65840","58490"
"In post","2023","Commercial","Kent","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Kent","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Lancashire","Outside London","Female","125","120","42960","38470"
"In post","2023","Commercial","Lancashire","Outside London","Male","70","70","44360","38470"
"In post","2023","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Lincolnshire","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Lincolnshire","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Merseyside","Outside London","Female","200","190","40540","34530"
"In post","2023","Commercial","Merseyside","Outside London","Male","115","115","43790","40450"
"In post","2023","Commercial","North Eastern Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North Eastern Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North Yorkshire","Outside London","Female","60","60","46030","46350"
"In post","2023","Commercial","North Yorkshire","Outside London","Male","40","35","48120","41200"
"In post","2023","Commercial","Northern Ireland","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
