"Status","Year","Profession_of_post","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Northumberland, and Tyne and Wear","Outside London","Female","55","55","42150","37590"
"In post","2023","Commercial","Northumberland, and Tyne and Wear","Outside London","Male","55","50","46910","40820"
"In post","2023","Commercial","Outer London - East and North East","London","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Outer London - East and North East","London","Male","10","10","[c]","[c]"
"In post","2023","Commercial","Outer London - South","London","Female","90","85","48110","43210"
"In post","2023","Commercial","Outer London - South","London","Male","60","60","49640","45440"
"In post","2023","Commercial","Outer London - West and North West","London","Female","30","30","[c]","[c]"
"In post","2023","Commercial","Outer London - West and North West","London","Male","35","35","41580","37410"
"In post","2023","Commercial","Overseas","Overseas","Female","10","10","[c]","[c]"
"In post","2023","Commercial","Overseas","Overseas","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Shropshire and Staffordshire","Outside London","Female","95","90","39440","35000"
"In post","2023","Commercial","Shropshire and Staffordshire","Outside London","Male","90","90","41040","33910"
"In post","2023","Commercial","South Yorkshire","Outside London","Female","160","150","41730","38470"
"In post","2023","Commercial","South Yorkshire","Outside London","Male","125","120","43390","38470"
"In post","2023","Commercial","Southern Scotland","Outside London","Female","40","40","51090","47250"
"In post","2023","Commercial","Southern Scotland","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Commercial","Surrey, East and West Sussex","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Surrey, East and West Sussex","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Commercial","Tees Valley and Durham","Outside London","Female","45","45","43240","39090"
"In post","2023","Commercial","Tees Valley and Durham","Outside London","Male","30","30","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Unknown","Unknown","Male","5","5","[c]","[c]"
"In post","2023","Commercial","West Central Scotland","Outside London","Female","105","105","39010","34170"
"In post","2023","Commercial","West Central Scotland","Outside London","Male","105","105","43150","36920"
"In post","2023","Commercial","West Midlands","Outside London","Female","100","95","48600","40890"
"In post","2023","Commercial","West Midlands","Outside London","Male","95","95","56040","47380"
"In post","2023","Commercial","West Wales and The Valleys","Outside London","Female","115","105","34760","32660"
"In post","2023","Commercial","West Wales and The Valleys","Outside London","Male","100","95","35750","31660"
"In post","2023","Commercial","West Yorkshire","Outside London","Female","210","200","45930","38470"
"In post","2023","Commercial","West Yorkshire","Outside London","Male","175","170","47010","40870"
"In post","2023","Communications","Bedfordshire and Hertfordshire","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Communications","Bedfordshire and Hertfordshire","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Communications","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","50","45","34610","33830"
"In post","2023","Communications","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","45","45","35380","31570"
"In post","2023","Communications","Cheshire","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Communications","Cheshire","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Communications","Cornwall and Isles of Scilly","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Communications","Cornwall and Isles of Scilly","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Communications","Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Cumbria","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Derbyshire and Nottinghamshire","Outside London","Female","65","65","40890","37680"
"In post","2023","Communications","Derbyshire and Nottinghamshire","Outside London","Male","35","35","41950","41960"
"In post","2023","Communications","Devon","Outside London","Female","30","25","[c]","[c]"
"In post","2023","Communications","Devon","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Communications","Dorset and Somerset","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Communications","Dorset and Somerset","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Communications","East Anglia","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Communications","East Anglia","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Communications","East Wales","Outside London","Female","190","175","40410","39690"
"In post","2023","Communications","East Wales","Outside London","Male","120","120","42720","39690"
"In post","2023","Communications","East Yorkshire and Northern Lincolnshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","East Yorkshire and Northern Lincolnshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Eastern Scotland","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Communications","Eastern Scotland","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Communications","Essex","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Essex","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","130","120","38140","37300"
"In post","2023","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","90","85","40220","38100"
"In post","2023","Communications","Greater Manchester","Outside London","Female","65","65","38490","37590"
"In post","2023","Communications","Greater Manchester","Outside London","Male","45","45","39610","36400"
"In post","2023","Communications","Hampshire and Isle of Wight","Outside London","Female","100","90","35690","34140"
"In post","2023","Communications","Hampshire and Isle of Wight","Outside London","Male","70","65","35720","33830"
"In post","2023","Communications","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Communications","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Communications","Highlands and Islands","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Highlands and Islands","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Inner London - East","London","Female","165","160","47100","42230"
"In post","2023","Communications","Inner London - East","London","Male","75","75","51610","44340"
"In post","2023","Communications","Inner London - West","London","Female","995","965","49390","46200"
"In post","2023","Communications","Inner London - West","London","Male","695","695","49620","45180"
"In post","2023","Communications","Kent","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Communications","Kent","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Lancashire","Outside London","Female","25","20","[c]","[c]"
"In post","2023","Communications","Lancashire","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Communications","Leicestershire, Rutland and Northamptonshire","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Communications","Leicestershire, Rutland and Northamptonshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Lincolnshire","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Communications","Lincolnshire","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Communications","Merseyside","Outside London","Female","50","50","40170","38800"
"In post","2023","Communications","Merseyside","Outside London","Male","35","35","42070","40790"
"In post","2023","Communications","North Eastern Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North Eastern Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North Yorkshire","Outside London","Female","10","10","[c]","[c]"
"In post","2023","Communications","North Yorkshire","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Communications","Northern Ireland","Outside London","Female","20","15","[c]","[c]"
"In post","2023","Communications","Northern Ireland","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Communications","Northumberland, and Tyne and Wear","Outside London","Female","45","40","38380","35330"
"In post","2023","Communications","Northumberland, and Tyne and Wear","Outside London","Male","30","30","41290","41710"
"In post","2023","Communications","Outer London - East and North East","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outer London - East and North East","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outer London - South","London","Female","20","20","[c]","[c]"
"In post","2023","Communications","Outer London - South","London","Male","15","15","[c]","[c]"
"In post","2023","Communications","Outer London - West and North West","London","Female","20","20","[c]","[c]"
"In post","2023","Communications","Outer London - West and North West","London","Male","15","15","[c]","[c]"
"In post","2023","Communications","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Shropshire and Staffordshire","Outside London","Female","40","40","37370","33990"
"In post","2023","Communications","Shropshire and Staffordshire","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Communications","South Yorkshire","Outside London","Female","50","45","43240","43250"
"In post","2023","Communications","South Yorkshire","Outside London","Male","35","35","40170","39090"
"In post","2023","Communications","Southern Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Southern Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Surrey, East and West Sussex","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Communications","Surrey, East and West Sussex","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Communications","Tees Valley and Durham","Outside London","Female","35","35","34280","31210"
"In post","2023","Communications","Tees Valley and Durham","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Communications","West Central Scotland","Outside London","Female","25","25","[c]","[c]"
"In post","2023","Communications","West Central Scotland","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Communications","West Midlands","Outside London","Female","65","60","43430","41190"
"In post","2023","Communications","West Midlands","Outside London","Male","30","30","41860","39100"
"In post","2023","Communications","West Wales and The Valleys","Outside London","Female","70","65","33940","31270"
"In post","2023","Communications","West Wales and The Valleys","Outside London","Male","50","50","33890","30610"
"In post","2023","Communications","West Yorkshire","Outside London","Female","55","50","45040","43620"
"In post","2023","Communications","West Yorkshire","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Corporate Finance","Dorset and Somerset","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Corporate Finance","Dorset and Somerset","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Greater Manchester","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Greater Manchester","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Hampshire and Isle of Wight","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Hampshire and Isle of Wight","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Inner London - East","London","Female","5","5","[c]","[c]"
"In post","2023","Corporate Finance","Inner London - East","London","Male","10","10","[c]","[c]"
"In post","2023","Corporate Finance","Inner London - West","London","Female","20","15","[c]","[c]"
"In post","2023","Corporate Finance","Inner London - West","London","Male","35","35","67370","65460"
"In post","2023","Corporate Finance","Northern Ireland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","West Central Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","West Central Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","West Midlands","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","West Midlands","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Bedfordshire and Hertfordshire","Outside London","Female","60","55","29380","30120"
"In post","2023","Counter Fraud","Bedfordshire and Hertfordshire","Outside London","Male","45","40","31020","31280"
"In post","2023","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","100","85","30830","31280"
"In post","2023","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","50","45","33240","31280"
"In post","2023","Counter Fraud","Cheshire","Outside London","Female","20","15","[c]","[c]"
"In post","2023","Counter Fraud","Cheshire","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Counter Fraud","Cornwall and Isles of Scilly","Outside London","Female","35","30","29300","28120"
"In post","2023","Counter Fraud","Cornwall and Isles of Scilly","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Counter Fraud","Cumbria","Outside London","Female","15","10","[c]","[c]"
"In post","2023","Counter Fraud","Cumbria","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Derbyshire and Nottinghamshire","Outside London","Female","215","190","30660","28120"
"In post","2023","Counter Fraud","Derbyshire and Nottinghamshire","Outside London","Male","205","195","33180","29310"
"In post","2023","Counter Fraud","Devon","Outside London","Female","55","45","28640","28120"
"In post","2023","Counter Fraud","Devon","Outside London","Male","40","35","29870","28120"
"In post","2023","Counter Fraud","Dorset and Somerset","Outside London","Female","100","90","29650","28120"
"In post","2023","Counter Fraud","Dorset and Somerset","Outside London","Male","45","45","30120","28120"
"In post","2023","Counter Fraud","East Anglia","Outside London","Female","120","110","29340","28120"
"In post","2023","Counter Fraud","East Anglia","Outside London","Male","115","105","29440","28120"
"In post","2023","Counter Fraud","East Wales","Outside London","Female","190","165","27910","25700"
"In post","2023","Counter Fraud","East Wales","Outside London","Male","150","145","31460","28070"
"In post","2023","Counter Fraud","East Yorkshire and Northern Lincolnshire","Outside London","Female","75","60","27730","28120"
"In post","2023","Counter Fraud","East Yorkshire and Northern Lincolnshire","Outside London","Male","55","55","28300","28120"
"In post","2023","Counter Fraud","Eastern Scotland","Outside London","Female","90","80","29750","28120"
"In post","2023","Counter Fraud","Eastern Scotland","Outside London","Male","60","60","28670","28120"
"In post","2023","Counter Fraud","Essex","Outside London","Female","80","75","31780","31280"
"In post","2023","Counter Fraud","Essex","Outside London","Male","45","45","34370","32040"
"In post","2023","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","125","110","31070","28120"
"In post","2023","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","95","90","32140","28130"
"In post","2023","Counter Fraud","Greater Manchester","Outside London","Female","245","220","32220","28130"
"In post","2023","Counter Fraud","Greater Manchester","Outside London","Male","265","255","33980","34170"
"In post","2023","Counter Fraud","Hampshire and Isle of Wight","Outside London","Female","160","135","29270","28120"
"In post","2023","Counter Fraud","Hampshire and Isle of Wight","Outside London","Male","85","80","33320","28130"
"In post","2023","Counter Fraud","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","45","35","29620","28120"
"In post","2023","Counter Fraud","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","25","20","[c]","[c]"
"In post","2023","Counter Fraud","Highlands and Islands","Outside London","Female","10","5","[c]","[c]"
"In post","2023","Counter Fraud","Highlands and Islands","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Inner London - East","London","Female","295","280","36800","34370"
"In post","2023","Counter Fraud","Inner London - East","London","Male","345","335","39110","39150"
"In post","2023","Counter Fraud","Inner London - West","London","Female","175","160","42000","38480"
"In post","2023","Counter Fraud","Inner London - West","London","Male","190","185","48890","41680"
"In post","2023","Counter Fraud","Kent","Outside London","Female","245","220","29380","27890"
"In post","2023","Counter Fraud","Kent","Outside London","Male","130","130","29590","27890"
"In post","2023","Counter Fraud","Lancashire","Outside London","Female","90","85","29900","28120"
"In post","2023","Counter Fraud","Lancashire","Outside London","Male","80","75","30460","28120"
"In post","2023","Counter Fraud","Leicestershire, Rutland and Northamptonshire","Outside London","Female","60","55","28720","28120"
"In post","2023","Counter Fraud","Leicestershire, Rutland and Northamptonshire","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Counter Fraud","Lincolnshire","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Counter Fraud","Lincolnshire","Outside London","Male","20","15","[c]","[c]"
"In post","2023","Counter Fraud","Merseyside","Outside London","Female","175","155","29590","28120"
"In post","2023","Counter Fraud","Merseyside","Outside London","Male","120","115","32040","28120"
"In post","2023","Counter Fraud","North Eastern Scotland","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Counter Fraud","North Eastern Scotland","Outside London","Male","10","5","[c]","[c]"
"In post","2023","Counter Fraud","North Yorkshire","Outside London","Female","45","45","32710","34170"
"In post","2023","Counter Fraud","North Yorkshire","Outside London","Male","45","45","33570","34170"
"In post","2023","Counter Fraud","Northern Ireland","Outside London","Female","60","60","31850","28130"
"In post","2023","Counter Fraud","Northern Ireland","Outside London","Male","50","50","31470","28130"
"In post","2023","Counter Fraud","Northumberland, and Tyne and Wear","Outside London","Female","330","300","29820","28120"
"In post","2023","Counter Fraud","Northumberland, and Tyne and Wear","Outside London","Male","230","225","30700","28120"
"In post","2023","Counter Fraud","Outer London - East and North East","London","Female","285","250","30030","32520"
"In post","2023","Counter Fraud","Outer London - East and North East","London","Male","175","170","30790","32520"
"In post","2023","Counter Fraud","Outer London - South","London","Female","165","150","35050","32520"
"In post","2023","Counter Fraud","Outer London - South","London","Male","190","180","39480","39150"
"In post","2023","Counter Fraud","Outer London - West and North West","London","Female","90","85","33110","32520"
"In post","2023","Counter Fraud","Outer London - West and North West","London","Male","65","60","34340","32520"
"In post","2023","Counter Fraud","Shropshire and Staffordshire","Outside London","Female","50","45","28850","28120"
"In post","2023","Counter Fraud","Shropshire and Staffordshire","Outside London","Male","35","35","28970","28120"
"In post","2023","Counter Fraud","South Yorkshire","Outside London","Female","90","80","28810","28120"
"In post","2023","Counter Fraud","South Yorkshire","Outside London","Male","45","45","30880","28120"
"In post","2023","Counter Fraud","Southern Scotland","Outside London","Female","160","140","24610","21690"
"In post","2023","Counter Fraud","Southern Scotland","Outside London","Male","85","85","25050","21690"
"In post","2023","Counter Fraud","Surrey, East and West Sussex","Outside London","Female","125","115","30650","28120"
"In post","2023","Counter Fraud","Surrey, East and West Sussex","Outside London","Male","75","70","31330","29340"
"In post","2023","Counter Fraud","Tees Valley and Durham","Outside London","Female","165","140","26390","28120"
"In post","2023","Counter Fraud","Tees Valley and Durham","Outside London","Male","80","75","27300","28120"
"In post","2023","Counter Fraud","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Counter Fraud","West Central Scotland","Outside London","Female","225","210","28840","28120"
"In post","2023","Counter Fraud","West Central Scotland","Outside London","Male","185","175","29210","28120"
"In post","2023","Counter Fraud","West Midlands","Outside London","Female","340","300","30310","28120"
"In post","2023","Counter Fraud","West Midlands","Outside London","Male","260","250","32490","28130"
"In post","2023","Counter Fraud","West Wales and The Valleys","Outside London","Female","210","185","28010","28120"
"In post","2023","Counter Fraud","West Wales and The Valleys","Outside London","Male","190","175","28750","28120"
"In post","2023","Counter Fraud","West Yorkshire","Outside London","Female","250","225","32070","28130"
"In post","2023","Counter Fraud","West Yorkshire","Outside London","Male","250","240","34550","29730"
"In post","2023","Digital, Data and Technology","Bedfordshire and Hertfordshire","Outside London","Female","40","35","38260","36140"
"In post","2023","Digital, Data and Technology","Bedfordshire and Hertfordshire","Outside London","Male","115","115","39680","37300"
"In post","2023","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","105","100","41300","37490"
"In post","2023","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","210","210","43640","40750"
"In post","2023","Digital, Data and Technology","Cheshire","Outside London","Female","110","105","43080","41050"
"In post","2023","Digital, Data and Technology","Cheshire","Outside London","Male","135","135","41350","38640"
"In post","2023","Digital, Data and Technology","Cornwall and Isles of Scilly","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Digital, Data and Technology","Cornwall and Isles of Scilly","Outside London","Male","20","15","[c]","[c]"
"In post","2023","Digital, Data and Technology","Cumbria","Outside London","Female","10","5","[c]","[c]"
"In post","2023","Digital, Data and Technology","Cumbria","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Digital, Data and Technology","Derbyshire and Nottinghamshire","Outside London","Female","110","105","41890","38920"
"In post","2023","Digital, Data and Technology","Derbyshire and Nottinghamshire","Outside London","Male","175","170","40720","37440"
"In post","2023","Digital, Data and Technology","Devon","Outside London","Female","245","225","38160","37420"
"In post","2023","Digital, Data and Technology","Devon","Outside London","Male","620","605","39600","39460"
"In post","2023","Digital, Data and Technology","Dorset and Somerset","Outside London","Female","55","50","39710","37890"
"In post","2023","Digital, Data and Technology","Dorset and Somerset","Outside London","Male","225","220","42380","42620"
"In post","2023","Digital, Data and Technology","East Anglia","Outside London","Female","105","100","37010","34300"
"In post","2023","Digital, Data and Technology","East Anglia","Outside London","Male","190","185","37640","34300"
"In post","2023","Digital, Data and Technology","East Wales","Outside London","Female","465","445","43270","40000"
"In post","2023","Digital, Data and Technology","East Wales","Outside London","Male","925","910","43700","40780"
"In post","2023","Digital, Data and Technology","East Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","Outside London","Female","15","15","[c]","[c]"
"In post","2023","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Digital, Data and Technology","Eastern Scotland","Outside London","Female","130","130","40350","39310"
"In post","2023","Digital, Data and Technology","Eastern Scotland","Outside London","Male","260","260","41190","38170"
"In post","2023","Digital, Data and Technology","Essex","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Digital, Data and Technology","Essex","Outside London","Male","65","60","38170","36600"
"In post","2023","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","615","585","41090","38790"
"In post","2023","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","1050","1035","43120","41000"
"In post","2023","Digital, Data and Technology","Greater Manchester","Outside London","Female","515","505","42460","38470"
"In post","2023","Digital, Data and Technology","Greater Manchester","Outside London","Male","1020","1010","45340","41480"
"In post","2023","Digital, Data and Technology","Hampshire and Isle of Wight","Outside London","Female","230","220","37680","34300"
"In post","2023","Digital, Data and Technology","Hampshire and Isle of Wight","Outside London","Male","380","370","39910","37690"
"In post","2023","Digital, Data and Technology","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","45","45","30480","27140"
"In post","2023","Digital, Data and Technology","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","65","65","33610","30320"
"In post","2023","Digital, Data and Technology","Highlands and Islands","Outside London","Female","5","5","[c]","[c]"
"In post","2023","Digital, Data and Technology","Highlands and Islands","Outside London","Male","10","10","[c]","[c]"
"In post","2023","Digital, Data and Technology","Inner London - East","London","Female","580","565","51880","54270"
"In post","2023","Digital, Data and Technology","Inner London - East","London","Male","920","910","52490","55130"
"In post","2023","Digital, Data and Technology","Inner London - West","London","Female","920","895","50570","46400"
"In post","2023","Digital, Data and Technology","Inner London - West","London","Male","1575","1565","52230","50320"
