"Status","Year","Age","Disability","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","Attorney General's Departments","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Home Office","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Ministry of Justice","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
