"Status","Year","Ethnicity","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Other","LGBO","20","20","[c]","[c]"
"In post","2023","Asian","Other","Undeclared","55","50","29320","26400"
"In post","2023","Asian","Other","Unknown","95","80","26360","23430"
"In post","2023","Asian","Planning","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Planning","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Policy","Heterosexual / straight","2100","2055","45940","41870"
"In post","2023","Asian","Policy","LGBO","95","95","47220","41440"
"In post","2023","Asian","Policy","Undeclared","115","110","43780","40800"
"In post","2023","Asian","Policy","Unknown","110","110","51390","49440"
"In post","2023","Asian","Project Delivery","Heterosexual / straight","1045","1025","44100","41200"
"In post","2023","Asian","Project Delivery","LGBO","25","25","[c]","[c]"
"In post","2023","Asian","Project Delivery","Undeclared","45","40","43540","42140"
"In post","2023","Asian","Project Delivery","Unknown","95","90","42250","39450"
"In post","2023","Asian","Property","Heterosexual / straight","245","240","38130","34170"
"In post","2023","Asian","Property","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Property","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Property","Unknown","35","35","32100","30840"
"In post","2023","Asian","Psychology","Heterosexual / straight","45","45","37600","32420"
"In post","2023","Asian","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Science and Engineering","Heterosexual / straight","475","465","39480","37990"
"In post","2023","Asian","Science and Engineering","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Science and Engineering","Undeclared","35","30","42250","41780"
"In post","2023","Asian","Science and Engineering","Unknown","65","60","43960","41930"
"In post","2023","Asian","Security","Heterosexual / straight","305","300","33960","31420"
"In post","2023","Asian","Security","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Security","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Security","Unknown","25","25","[c]","[c]"
"In post","2023","Asian","Social Research","Heterosexual / straight","60","60","43520","39370"
"In post","2023","Asian","Social Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Statistics","Heterosexual / straight","200","195","43720","41680"
"In post","2023","Asian","Statistics","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Statistics","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Statistics","Unknown","20","20","[c]","[c]"
"In post","2023","Asian","Tax","Heterosexual / straight","1435","1375","35870","34700"
"In post","2023","Asian","Tax","LGBO","40","40","32810","34370"
"In post","2023","Asian","Tax","Undeclared","75","70","36280","34700"
"In post","2023","Asian","Tax","Unknown","285","270","36840","35000"
"In post","2023","Asian","Unknown","Heterosexual / straight","1275","1240","39720","34730"
"In post","2023","Asian","Unknown","LGBO","40","40","41740","35400"
"In post","2023","Asian","Unknown","Undeclared","55","55","41370","39130"
"In post","2023","Asian","Unknown","Unknown","155","150","33830","30130"
"In post","2023","Asian","Veterinarian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","Heterosexual / straight","195","195","42390","39150"
"In post","2023","Black","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Commercial","Undeclared","10","10","[c]","[c]"
"In post","2023","Black","Commercial","Unknown","35","35","53120","48070"
"In post","2023","Black","Communications","Heterosexual / straight","80","80","41800","38630"
"In post","2023","Black","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Communications","Undeclared","10","10","[c]","[c]"
"In post","2023","Black","Communications","Unknown","10","10","[c]","[c]"
"In post","2023","Black","Corporate Finance","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Black","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Counter Fraud","Heterosexual / straight","375","355","31410","32520"
"In post","2023","Black","Counter Fraud","LGBO","10","10","[c]","[c]"
"In post","2023","Black","Counter Fraud","Undeclared","30","25","30050","28120"
"In post","2023","Black","Counter Fraud","Unknown","45","40","31360","32520"
"In post","2023","Black","Digital, Data and Technology","Heterosexual / straight","700","695","42090","39790"
"In post","2023","Black","Digital, Data and Technology","LGBO","10","10","[c]","[c]"
"In post","2023","Black","Digital, Data and Technology","Undeclared","30","30","[c]","[c]"
"In post","2023","Black","Digital, Data and Technology","Unknown","50","50","38640","37450"
"In post","2023","Black","Economics","Heterosexual / straight","55","55","43030","39110"
"In post","2023","Black","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Finance","Heterosexual / straight","375","370","41700","39450"
"In post","2023","Black","Finance","LGBO","10","10","[c]","[c]"
"In post","2023","Black","Finance","Undeclared","15","15","[c]","[c]"
"In post","2023","Black","Finance","Unknown","15","15","[c]","[c]"
"In post","2023","Black","Geography","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Black","Geography","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Geography","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Human Resources","Heterosexual / straight","345","340","40820","37150"
"In post","2023","Black","Human Resources","LGBO","10","10","[c]","[c]"
"In post","2023","Black","Human Resources","Undeclared","15","15","[c]","[c]"
"In post","2023","Black","Human Resources","Unknown","15","15","[c]","[c]"
"In post","2023","Black","Inspector of Education and Training","Heterosexual / straight","35","35","59680","52750"
"In post","2023","Black","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Intelligence Analysis","Heterosexual / straight","50","50","33750","31950"
"In post","2023","Black","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Black","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Black","International Trade","Heterosexual / straight","70","70","45280","41550"
"In post","2023","Black","International Trade","LGBO","[c]","[c]","[c]","[c]"
