"Status","Year","Disability","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","East Midlands (England)","AA/AO","Female","655","560","22740","21780"
"In post","2023","Declared disabled","East Midlands (England)","AA/AO","Male","485","455","24450","22520"
"In post","2023","Declared disabled","East Midlands (England)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","EO","Female","605","530","27900","28120"
"In post","2023","Declared disabled","East Midlands (England)","EO","Male","355","335","28420","28120"
"In post","2023","Declared disabled","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","G6/G7","Female","120","115","58310","56870"
"In post","2023","Declared disabled","East Midlands (England)","G6/G7","Male","60","60","62530","57970"
"In post","2023","Declared disabled","East Midlands (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","SEO/HEO","Female","420","395","36940","35000"
"In post","2023","Declared disabled","East Midlands (England)","SEO/HEO","Male","265","260","37670","35330"
"In post","2023","Declared disabled","East Midlands (England)","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Unknown","Female","290","265","30710","29050"
"In post","2023","Declared disabled","East Midlands (England)","Unknown","Male","70","65","30620","29050"
"In post","2023","Declared disabled","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","AA/AO","Female","495","430","23950","22690"
"In post","2023","Declared disabled","East of England","AA/AO","Male","345","325","26520","24480"
"In post","2023","Declared disabled","East of England","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","EO","Female","660","575","29440","28120"
"In post","2023","Declared disabled","East of England","EO","Male","340","325","29700","28120"
"In post","2023","Declared disabled","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","G6/G7","Female","75","70","61500","59830"
"In post","2023","Declared disabled","East of England","G6/G7","Male","45","40","61740","60990"
"In post","2023","Declared disabled","East of England","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","SEO/HEO","Female","320","300","38200","37420"
"In post","2023","Declared disabled","East of England","SEO/HEO","Male","275","260","39090","37520"
"In post","2023","Declared disabled","East of England","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","Unknown","Female","270","245","29590","29050"
"In post","2023","Declared disabled","East of England","Unknown","Male","85","80","29670","29050"
"In post","2023","Declared disabled","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","AA/AO","Female","840","740","26330","25610"
"In post","2023","Declared disabled","London","AA/AO","Male","525","500","27250","25610"
"In post","2023","Declared disabled","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","EO","Female","1570","1440","31520","32520"
"In post","2023","Declared disabled","London","EO","Male","845","805","31780","31950"
"In post","2023","Declared disabled","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","G6/G7","Female","1375","1315","61910","60000"
"In post","2023","Declared disabled","London","G6/G7","Male","1105","1085","62560","60940"
"In post","2023","Declared disabled","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","SCS level","Female","180","170","91110","83310"
"In post","2023","Declared disabled","London","SCS level","Male","155","155","96070","84400"
"In post","2023","Declared disabled","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","SEO/HEO","Female","2055","1985","39510","39150"
"In post","2023","Declared disabled","London","SEO/HEO","Male","1480","1455","40330","39870"
"In post","2023","Declared disabled","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","Unknown","Female","345","330","35940","33820"
"In post","2023","Declared disabled","London","Unknown","Male","110","105","37430","34820"
"In post","2023","Declared disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North East (England)","AA/AO","Female","1040","835","22280","21780"
"In post","2023","Declared disabled","North East (England)","AA/AO","Male","655","590","23020","22150"
"In post","2023","Declared disabled","North East (England)","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North East (England)","EO","Female","785","675","27910","28120"
"In post","2023","Declared disabled","North East (England)","EO","Male","410","380","28280","28120"
"In post","2023","Declared disabled","North East (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North East (England)","G6/G7","Female","150","145","56710","55780"
"In post","2023","Declared disabled","North East (England)","G6/G7","Male","135","130","58510","56180"
"In post","2023","Declared disabled","North East (England)","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
