"Status","Year","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Department for Business, Energy and Industrial Strategy","EO","Unknown","395","375","26970","25560"
"In post","2023","Department for Business, Energy and Industrial Strategy","G6/G7","Heterosexual / straight","3250","3140","58420","57250"
"In post","2023","Department for Business, Energy and Industrial Strategy","G6/G7","LGBO","270","265","57990","55350"
"In post","2023","Department for Business, Energy and Industrial Strategy","G6/G7","Undeclared","440","420","58760","57170"
"In post","2023","Department for Business, Energy and Industrial Strategy","G6/G7","Unknown","475","465","59270","57910"
"In post","2023","Department for Business, Energy and Industrial Strategy","SCS level","Heterosexual / straight","320","310","86210","78680"
"In post","2023","Department for Business, Energy and Industrial Strategy","SCS level","LGBO","25","25","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","SCS level","Undeclared","30","30","[c]","[c]"
"In post","2023","Department for Business, Energy and Industrial Strategy","SCS level","Unknown","40","35","90770","78590"
"In post","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","Heterosexual / straight","4425","4255","38540","38200"
"In post","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","LGBO","400","395","38340","38660"
"In post","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","Undeclared","645","615","39170","39650"
"In post","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","Unknown","900","875","38710","39480"
"In post","2023","Department for Digital, Culture, Media and Sport","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","EO","Heterosexual / straight","105","105","28090","27780"
"In post","2023","Department for Digital, Culture, Media and Sport","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","EO","Undeclared","20","20","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","EO","Unknown","30","30","27430","27230"
"In post","2023","Department for Digital, Culture, Media and Sport","G6/G7","Heterosexual / straight","685","670","57350","54780"
"In post","2023","Department for Digital, Culture, Media and Sport","G6/G7","LGBO","110","110","56510","53430"
"In post","2023","Department for Digital, Culture, Media and Sport","G6/G7","Undeclared","60","60","56950","54560"
"In post","2023","Department for Digital, Culture, Media and Sport","G6/G7","Unknown","85","80","58480","57030"
"In post","2023","Department for Digital, Culture, Media and Sport","SCS level","Heterosexual / straight","100","95","87060","78370"
"In post","2023","Department for Digital, Culture, Media and Sport","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","Department for Digital, Culture, Media and Sport","SEO/HEO","Heterosexual / straight","475","470","36920","35620"
"In post","2023","Department for Digital, Culture, Media and Sport","SEO/HEO","LGBO","85","85","36230","35620"
"In post","2023","Department for Digital, Culture, Media and Sport","SEO/HEO","Undeclared","65","65","36310","35620"
"In post","2023","Department for Digital, Culture, Media and Sport","SEO/HEO","Unknown","75","75","37210","35620"
"In post","2023","Department for Education","AA/AO","Heterosexual / straight","65","60","22660","22020"
"In post","2023","Department for Education","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2023","Department for Education","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Department for Education","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2023","Department for Education","EO","Heterosexual / straight","585","560","27440","26940"
"In post","2023","Department for Education","EO","LGBO","55","55","27210","25900"
"In post","2023","Department for Education","EO","Undeclared","55","55","27910","26940"
"In post","2023","Department for Education","EO","Unknown","90","85","27700","26940"
"In post","2023","Department for Education","G6/G7","Heterosexual / straight","2500","2405","57270","55020"
"In post","2023","Department for Education","G6/G7","LGBO","180","175","57750","55020"
"In post","2023","Department for Education","G6/G7","Undeclared","265","255","57450","55020"
"In post","2023","Department for Education","G6/G7","Unknown","350","340","57880","55290"
"In post","2023","Department for Education","SCS level","Heterosexual / straight","240","230","84130","76510"
"In post","2023","Department for Education","SCS level","LGBO","20","20","[c]","[c]"
"In post","2023","Department for Education","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2023","Department for Education","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","Department for Education","SEO/HEO","Heterosexual / straight","3010","2900","36710","37590"
"In post","2023","Department for Education","SEO/HEO","LGBO","270","265","36690","37590"
"In post","2023","Department for Education","SEO/HEO","Undeclared","305","295","37070","37590"
"In post","2023","Department for Education","SEO/HEO","Unknown","420","405","37240","37590"
"In post","2023","Department for Education","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","AA/AO","Heterosexual / straight","1680","1540","22550","22150"
"In post","2023","Department for Environment, Food and Rural Affairs","AA/AO","LGBO","175","170","22620","22150"
"In post","2023","Department for Environment, Food and Rural Affairs","AA/AO","Undeclared","225","205","22500","22150"
"In post","2023","Department for Environment, Food and Rural Affairs","AA/AO","Unknown","455","420","22410","22150"
"In post","2023","Department for Environment, Food and Rural Affairs","EO","Heterosexual / straight","1570","1490","26860","25920"
"In post","2023","Department for Environment, Food and Rural Affairs","EO","LGBO","130","125","26690","25920"
"In post","2023","Department for Environment, Food and Rural Affairs","EO","Undeclared","200","185","26930","25940"
"In post","2023","Department for Environment, Food and Rural Affairs","EO","Unknown","340","315","26600","25940"
"In post","2023","Department for Environment, Food and Rural Affairs","G6/G7","Heterosexual / straight","2175","2105","54680","54330"
"In post","2023","Department for Environment, Food and Rural Affairs","G6/G7","LGBO","175","175","54510","54330"
"In post","2023","Department for Environment, Food and Rural Affairs","G6/G7","Undeclared","240","235","54460","54330"
"In post","2023","Department for Environment, Food and Rural Affairs","G6/G7","Unknown","395","385","55030","54330"
"In post","2023","Department for Environment, Food and Rural Affairs","SCS level","Heterosexual / straight","180","180","83510","78260"
"In post","2023","Department for Environment, Food and Rural Affairs","SCS level","LGBO","15","15","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","SCS level","Unknown","25","25","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","Heterosexual / straight","3530","3395","35490","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","LGBO","320","310","35610","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","Undeclared","450","430","35860","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","Unknown","735","705","35400","37300"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","Unknown","30","30","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Department for International Trade","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2023","Department for International Trade","EO","Heterosexual / straight","170","165","29030","29280"
"In post","2023","Department for International Trade","EO","LGBO","25","25","[c]","[c]"
"In post","2023","Department for International Trade","EO","Undeclared","20","20","[c]","[c]"
"In post","2023","Department for International Trade","EO","Unknown","85","85","29230","29280"
"In post","2023","Department for International Trade","G6/G7","Heterosexual / straight","840","830","59330","55590"
"In post","2023","Department for International Trade","G6/G7","LGBO","90","90","59040","56220"
"In post","2023","Department for International Trade","G6/G7","Undeclared","80","80","58650","55500"
"In post","2023","Department for International Trade","G6/G7","Unknown","340","335","59140","55500"
"In post","2023","Department for International Trade","SCS level","Heterosexual / straight","125","120","88840","78350"
"In post","2023","Department for International Trade","SCS level","LGBO","15","10","[c]","[c]"
"In post","2023","Department for International Trade","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for International Trade","SCS level","Unknown","45","40","88100","78300"
"In post","2023","Department for International Trade","SEO/HEO","Heterosexual / straight","1040","1025","39080","40050"
"In post","2023","Department for International Trade","SEO/HEO","LGBO","125","125","38300","36620"
"In post","2023","Department for International Trade","SEO/HEO","Undeclared","70","70","39420","41550"
"In post","2023","Department for International Trade","SEO/HEO","Unknown","430","425","39280","41470"
"In post","2023","Department for Levelling Up, Housing and Communities","AA/AO","Heterosexual / straight","125","115","23470","23250"
"In post","2023","Department for Levelling Up, Housing and Communities","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Department for Levelling Up, Housing and Communities","AA/AO","Unknown","55","50","22770","23250"
