"Status","Year","Age","Organisation","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Accountant in Bankruptcy","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","EO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","AO","Female","40","40","20920","20980"
"In post","2023","16-19","Crown Prosecution Service","AO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Electronics and Components Agency","AA","Male","10","10","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","AO","Female","20","20","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","AO","Male","85","85","19020","18780"
"In post","2023","16-19","Defence Equipment and Support","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","AO","Male","15","15","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","EO","Male","[c]","[c]","[c]","[c]"
