"Status","Year","Disability","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Undeclared","London","HEO","1000","975","37270","36740"
"In post","2023","Undeclared","London","SCS level","235","230","95380","84990"
"In post","2023","Undeclared","London","SEO","910","885","44940","43790"
"In post","2023","Undeclared","London","Unknown","120","115","36250","33820"
"In post","2023","Undeclared","Outside London","AA","1200","1055","22120","22520"
"In post","2023","Undeclared","Outside London","AO","5935","5285","25780","22520"
"In post","2023","Undeclared","Outside London","EO","5395","4985","29360","28120"
"In post","2023","Undeclared","Outside London","G6","540","515","70480","69500"
"In post","2023","Undeclared","Outside London","G7","1600","1550","55810","55230"
"In post","2023","Undeclared","Outside London","HEO","3530","3370","34960","34450"
"In post","2023","Undeclared","Outside London","SCS level","130","125","102680","96070"
"In post","2023","Undeclared","Outside London","SEO","2640","2535","43270","42140"
"In post","2023","Undeclared","Outside London","Unknown","870","805","32960","29050"
"In post","2023","Undeclared","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Overseas","EO","15","15","[c]","[c]"
"In post","2023","Undeclared","Overseas","G6","20","20","[c]","[c]"
"In post","2023","Undeclared","Overseas","G7","30","30","58140","56100"
"In post","2023","Undeclared","Overseas","HEO","35","35","39500","35810"
"In post","2023","Undeclared","Overseas","SCS level","10","10","[c]","[c]"
"In post","2023","Undeclared","Overseas","SEO","20","20","[c]","[c]"
"In post","2023","Undeclared","Overseas","Unknown","10","10","[c]","[c]"
"In post","2023","Undeclared","Unknown","AO","10","10","[c]","[c]"
"In post","2023","Undeclared","Unknown","EO","20","15","[c]","[c]"
"In post","2023","Undeclared","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2023","Undeclared","Unknown","G7","5","5","[c]","[c]"
"In post","2023","Undeclared","Unknown","HEO","10","10","[c]","[c]"
"In post","2023","Undeclared","Unknown","SEO","5","5","[c]","[c]"
"In post","2023","Unknown","London","AA","310","300","24850","23500"
