"Status","Year","Age","Function_of_post","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","No function","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Science and Engineering","AA/AO","70","70","18820","18280"
"In post","2023","16-19","No function","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","AA/AO","20","20","23180","22520"
"In post","2023","16-19","No function","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Project Delivery","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","Project Delivery","EO","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Science and Engineering","Unknown","15","15","18580","18280"
"In post","2023","16-19","Property","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Property","Other","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Property","Property","AA/AO","15","15","21760","22520"
"In post","2023","16-19","Property","Property","EO","5","5","[c]","[c]"
"In post","2023","16-19","Property","Property","Unknown","15","15","23420","22750"
"In post","2023","16-19","Security","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","EO","10","10","25160","24470"
"In post","2023","16-19","Unknown","Human Resources","AA/AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Other","Unknown","30","30","19860","17650"
"In post","2023","16-19","Unknown","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Science and Engineering","AA/AO","15","15","20980","19430"
"In post","2023","16-19","Unknown","Unknown","AA/AO","55","55","22910","22180"
"In post","2023","16-19","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Digital, Data and Technology","SEO/HEO","35","35","38060","35410"
"In post","2023","20-29","Analysis","Economics","AA/AO","55","55","22870","22440"
"In post","2023","20-29","Analysis","Economics","EO","125","125","28010","28720"
"In post","2023","20-29","Analysis","Economics","G6/G7","245","245","56720","55500"
"In post","2023","20-29","Analysis","Economics","SEO/HEO","635","630","36880","35410"
"In post","2023","20-29","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Intelligence Analysis","EO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Intelligence Analysis","SEO/HEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Knowledge and Information Management","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Operational Delivery","EO","45","45","27180","27840"
"In post","2023","20-29","Analysis","Operational Delivery","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Operational Delivery","SEO/HEO","110","110","34070","31560"
"In post","2023","20-29","Analysis","Operational Research","AA/AO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Operational Research","EO","15","15","27650","26780"
"In post","2023","20-29","Analysis","Operational Research","G6/G7","30","30","56610","57620"
"In post","2023","20-29","Analysis","Operational Research","SEO/HEO","215","215","36550","35730"
"In post","2023","20-29","Analysis","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Other","EO","40","40","29350","29660"
"In post","2023","20-29","Analysis","Other","G6/G7","15","15","60840","58970"
"In post","2023","20-29","Analysis","Other","SEO/HEO","85","85","37110","35890"
"In post","2023","20-29","Analysis","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Policy","EO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Policy","G6/G7","10","10","56910","57700"
"In post","2023","20-29","Analysis","Policy","SEO/HEO","80","75","38260","38300"
"In post","2023","20-29","Analysis","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Science and Engineering","AA/AO","30","30","22810","23340"
"In post","2023","20-29","Analysis","Science and Engineering","EO","45","45","26060","25970"
"In post","2023","20-29","Analysis","Science and Engineering","G6/G7","10","10","48080","49260"
"In post","2023","20-29","Analysis","Science and Engineering","SEO/HEO","220","220","33240","30650"
"In post","2023","20-29","Analysis","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Social Research","EO","10","10","27670","27630"
"In post","2023","20-29","Analysis","Social Research","G6/G7","55","55","57170","56570"
"In post","2023","20-29","Analysis","Social Research","SEO/HEO","510","505","37020","36840"
"In post","2023","20-29","Analysis","Statistics","AA/AO","40","40","23650","23500"
"In post","2023","20-29","Analysis","Statistics","EO","110","110","28680","28360"
"In post","2023","20-29","Analysis","Statistics","G6/G7","100","100","56610","55370"
"In post","2023","20-29","Analysis","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Statistics","SEO/HEO","705","705","36750","35650"
"In post","2023","20-29","Analysis","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Unknown","EO","10","10","26540","25750"
"In post","2023","20-29","Analysis","Unknown","G6/G7","10","10","51920","50110"
"In post","2023","20-29","Analysis","Unknown","SEO/HEO","30","30","36040","35400"
"In post","2023","20-29","Commercial","Commercial","AA/AO","105","105","23600","22390"
"In post","2023","20-29","Commercial","Commercial","EO","200","195","27040","27080"
"In post","2023","20-29","Commercial","Commercial","G6/G7","105","105","61400","56200"
"In post","2023","20-29","Commercial","Commercial","SEO/HEO","590","590","35540","34190"
"In post","2023","20-29","Commercial","Commercial","Unknown","30","30","31730","28490"
"In post","2023","20-29","Commercial","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Operational Delivery","EO","20","20","30300","32300"
"In post","2023","20-29","Commercial","Operational Delivery","G6/G7","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","Operational Delivery","SEO/HEO","50","50","39050","39290"
"In post","2023","20-29","Commercial","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Other","SEO/HEO","20","20","33710","31880"
"In post","2023","20-29","Commercial","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Project Delivery","SEO/HEO","10","10","35940","35010"
"In post","2023","20-29","Commercial","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","EO","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","Unknown","SEO/HEO","10","10","36580","34700"
"In post","2023","20-29","Communications","Communications","AA/AO","35","35","23360","22520"
"In post","2023","20-29","Communications","Communications","EO","140","140","28050","27860"
"In post","2023","20-29","Communications","Communications","G6/G7","45","45","55300","55720"
"In post","2023","20-29","Communications","Communications","SEO/HEO","515","515","37800","37540"
"In post","2023","20-29","Communications","Communications","Unknown","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Knowledge and Information Management","SEO/HEO","10","10","41800","44360"
"In post","2023","20-29","Communications","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Operational Delivery","SEO/HEO","15","15","38810","42000"
"In post","2023","20-29","Communications","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Other","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Other","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","EO","10","10","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Communications","Unknown","SEO/HEO","40","40","37220","35400"
"In post","2023","20-29","Counter Fraud","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Counter Fraud","AA/AO","225","225","23490","22520"
"In post","2023","20-29","Counter Fraud","Counter Fraud","EO","740","730","29100","28120"
"In post","2023","20-29","Counter Fraud","Counter Fraud","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Counter Fraud","SEO/HEO","230","225","36100","34700"
"In post","2023","20-29","Counter Fraud","Digital, Data and Technology","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Intelligence Analysis","EO","20","20","30520","32260"
"In post","2023","20-29","Counter Fraud","Intelligence Analysis","SEO/HEO","25","25","38850","39450"
"In post","2023","20-29","Counter Fraud","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Legal","AA/AO","10","10","22960","22520"
"In post","2023","20-29","Counter Fraud","Legal","EO","155","155","29630","28130"
"In post","2023","20-29","Counter Fraud","Legal","SEO/HEO","40","40","36530","35000"
"In post","2023","20-29","Counter Fraud","Operational Delivery","AA/AO","60","60","22810","22520"
"In post","2023","20-29","Counter Fraud","Operational Delivery","EO","135","135","28400","27890"
"In post","2023","20-29","Counter Fraud","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Operational Delivery","SEO/HEO","75","75","36940","34700"
"In post","2023","20-29","Counter Fraud","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Other","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Other","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Policy","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Tax","EO","80","80","28880","27890"
"In post","2023","20-29","Counter Fraud","Tax","G6/G7","20","20","59650","57970"
"In post","2023","20-29","Counter Fraud","Tax","SEO/HEO","65","65","36380","34700"
"In post","2023","20-29","Counter Fraud","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Unknown","EO","40","40","30550","31980"
"In post","2023","20-29","Counter Fraud","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Counter Fraud","Unknown","SEO/HEO","25","25","37470","38050"
"In post","2023","20-29","Debt","Operational Delivery","AA/AO","935","905","22970","22520"
"In post","2023","20-29","Debt","Operational Delivery","EO","110","105","28020","27890"
"In post","2023","20-29","Debt","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","Operational Delivery","SEO/HEO","20","20","35480","34700"
"In post","2023","20-29","Debt","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","Other","AA/AO","360","345","21750","21690"
"In post","2023","20-29","Debt","Other","EO","25","25","28120","28120"
"In post","2023","20-29","Debt","Other","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Debt","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","Tax","AA/AO","210","205","22650","22520"
"In post","2023","20-29","Debt","Tax","EO","25","25","27760","27650"
"In post","2023","20-29","Debt","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Debt","Unknown","AA/AO","10","10","[c]","[c]"
"In post","2023","20-29","Debt","Unknown","EO","10","10","29370","28120"
"In post","2023","20-29","Digital, Data & Technology","Digital, Data and Technology","AA/AO","150","150","22920","22370"
"In post","2023","20-29","Digital, Data & Technology","Digital, Data and Technology","EO","870","855","27990","27700"
"In post","2023","20-29","Digital, Data & Technology","Digital, Data and Technology","G6/G7","340","340","55440","55020"
"In post","2023","20-29","Digital, Data & Technology","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Digital, Data and Technology","SEO/HEO","1900","1895","36910","36000"
"In post","2023","20-29","Digital, Data & Technology","Digital, Data and Technology","Unknown","20","20","30060","26420"
"In post","2023","20-29","Digital, Data & Technology","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Human Resources","EO","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Human Resources","SEO/HEO","10","10","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Knowledge and Information Management","AA/AO","15","15","23040","22220"
"In post","2023","20-29","Digital, Data & Technology","Knowledge and Information Management","EO","40","40","27450","27140"
"In post","2023","20-29","Digital, Data & Technology","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Knowledge and Information Management","SEO/HEO","35","35","35410","33880"
"In post","2023","20-29","Digital, Data & Technology","Knowledge and Information Management","Unknown","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Operational Delivery","AA/AO","55","55","20850","20660"
"In post","2023","20-29","Digital, Data & Technology","Operational Delivery","EO","20","20","27580","27650"
"In post","2023","20-29","Digital, Data & Technology","Operational Delivery","G6/G7","10","10","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Operational Delivery","SEO/HEO","130","125","34820","32730"
"In post","2023","20-29","Digital, Data & Technology","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Other","AA/AO","20","20","19460","19080"
"In post","2023","20-29","Digital, Data & Technology","Other","EO","15","15","28200","28700"
"In post","2023","20-29","Digital, Data & Technology","Other","SEO/HEO","20","20","36670","36180"
"In post","2023","20-29","Digital, Data & Technology","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Policy","SEO/HEO","10","10","37920","38460"
"In post","2023","20-29","Digital, Data & Technology","Project Delivery","EO","15","15","29400","29890"
"In post","2023","20-29","Digital, Data & Technology","Project Delivery","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Project Delivery","SEO/HEO","30","30","35790","36180"
"In post","2023","20-29","Digital, Data & Technology","Science and Engineering","EO","45","45","25480","24650"
"In post","2023","20-29","Digital, Data & Technology","Science and Engineering","SEO/HEO","25","25","33250","33430"
"In post","2023","20-29","Digital, Data & Technology","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Tax","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Tax","EO","5","5","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Tax","SEO/HEO","15","15","36630","34700"
"In post","2023","20-29","Digital, Data & Technology","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Unknown","EO","45","45","27820","27830"
"In post","2023","20-29","Digital, Data & Technology","Unknown","G6/G7","25","25","56830","56430"
"In post","2023","20-29","Digital, Data & Technology","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Digital, Data & Technology","Unknown","SEO/HEO","90","90","38450","38320"
"In post","2023","20-29","Finance","Commercial","AA/AO","10","10","[c]","[c]"
"In post","2023","20-29","Finance","Commercial","EO","10","10","29350","28120"
"In post","2023","20-29","Finance","Commercial","G6/G7","5","5","[c]","[c]"
"In post","2023","20-29","Finance","Commercial","SEO/HEO","45","45","36330","34170"
"In post","2023","20-29","Finance","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Corporate Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2023","20-29","Finance","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Finance","AA/AO","265","255","23260","22520"
"In post","2023","20-29","Finance","Finance","EO","335","330","27700","27140"
"In post","2023","20-29","Finance","Finance","G6/G7","130","130","56210","55720"
"In post","2023","20-29","Finance","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Finance","SEO/HEO","580","580","36210","34850"
"In post","2023","20-29","Finance","Finance","Unknown","15","15","32140","31920"
"In post","2023","20-29","Finance","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Operational Delivery","AA/AO","80","75","22610","22520"
"In post","2023","20-29","Finance","Operational Delivery","EO","40","40","28580","28130"
"In post","2023","20-29","Finance","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Operational Delivery","SEO/HEO","25","25","35280","34700"
"In post","2023","20-29","Finance","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Finance","Other","EO","[c]","[c]","[c]","[c]"
