"Status","Year","Ethnicity","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Commercial","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East Anglia","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","30","30","43100","38940"
"In post","2023","Asian","Commercial","Greater Manchester","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Inner London - East","London","30","30","43370","35790"
"In post","2023","Asian","Commercial","Inner London - West","London","145","140","53160","44160"
"In post","2023","Asian","Commercial","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Northumberland, and Tyne and Wear","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Outer London - South","London","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Outer London - West and North West","London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Shropshire and Staffordshire","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Commercial","South Yorkshire","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
