"Status","Year","Ethnicity","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Counter Fraud","London","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Digital, Data and Technology","London","20","20","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Finance","London","20","20","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Finance","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Human Resources","London","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Knowledge and Information Management","London","10","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Legal","London","390","365","56690","54230"
"In post","2023","Asian","Attorney General's Departments","Legal","Outside London","245","225","50830","50000"
"In post","2023","Asian","Attorney General's Departments","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Operational Delivery","London","235","220","28440","27760"
"In post","2023","Asian","Attorney General's Departments","Operational Delivery","Outside London","200","190","25830","24430"
"In post","2023","Asian","Attorney General's Departments","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Other","London","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Policy","London","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Project Delivery","London","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Property","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Security","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Commercial","London","65","65","66580","65500"
"In post","2023","Asian","Cabinet Office","Commercial","Outside London","30","30","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Communications","London","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Communications","Outside London","[c]","[c]","[c]","[c]"
