"Status","Year","Age","Region_ITL1","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","East Midlands (England)","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Female","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Female","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Male","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","East of England","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Female","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","East of England","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","East of England","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Male","Unknown","15","10","[c]","[c]"
"In post","2023","16-19","East of England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Female","Heterosexual / straight","35","35","26390","26650"
"In post","2023","16-19","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Female","Unknown","25","25","[c]","[c]"
"In post","2023","16-19","London","Male","Heterosexual / straight","30","30","26170","26010"
"In post","2023","16-19","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Male","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","North East (England)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","Female","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","North East (England)","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","North East (England)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","Male","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","North East (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Female","Heterosexual / straight","40","40","23770","22520"
"In post","2023","16-19","North West (England)","Female","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","North West (England)","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","North West (England)","Female","Unknown","45","40","22970","22400"
"In post","2023","16-19","North West (England)","Male","Heterosexual / straight","30","30","24520","22700"
"In post","2023","16-19","North West (England)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Male","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","North West (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Scotland","Female","LGBO","5","5","[c]","[c]"
