"Status","Year","Disability","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","AA/AO","16690","14645","23540","22220"
"In post","2023","Declared disabled","EO","17015","15385","28910","28120"
"In post","2023","Declared disabled","G6/G7","6595","6345","59890","57970"
"In post","2023","Declared disabled","SCS level","565","550","91820","83310"
"In post","2023","Declared disabled","SEO/HEO","15625","14930","38010","37300"
"In post","2023","Declared disabled","Unknown","4295","4015","31720","29050"
"In post","2023","Declared non-disabled","AA/AO","80985","72955","24290","22520"
"In post","2023","Declared non-disabled","EO","78745","72635","28900","28120"
"In post","2023","Declared non-disabled","G6/G7","50215","48415","60770","58850"
"In post","2023","Declared non-disabled","SCS level","5105","4935","91260","83530"
"In post","2023","Declared non-disabled","SEO/HEO","94060","90415","38610","37980"
"In post","2023","Declared non-disabled","Unknown","15085","14175","32250","29050"
"In post","2023","Undeclared","AA/AO","7960","7095","25450","22520"
"In post","2023","Undeclared","EO","6465","6000","29800","28120"
"In post","2023","Undeclared","G6/G7","3955","3840","61150","58850"
"In post","2023","Undeclared","SCS level","380","365","97560","86700"
"In post","2023","Undeclared","SEO/HEO","8155","7835","39120","38470"
"In post","2023","Undeclared","Unknown","1000","930","33360","29920"
"In post","2023","Unknown","AA/AO","30960","28865","24300","22520"
"In post","2023","Unknown","EO","25105","24120","29450","28130"
"In post","2023","Unknown","G6/G7","14455","14010","60390","57970"
"In post","2023","Unknown","SCS level","1335","1290","95360","85610"
"In post","2023","Unknown","SEO/HEO","29690","28905","38380","37760"
"In post","2023","Unknown","Unknown","5335","5020","32960","29050"
"Leaver CS","2023","Declared disabled","AA/AO","1915","[c]","22340","21690"
"Leaver CS","2023","Declared disabled","EO","1390","[c]","28560","28120"
"Leaver CS","2023","Declared disabled","G6/G7","395","[c]","60790","58340"
"Leaver CS","2023","Declared disabled","SCS level","50","[c]","93850","84520"
"Leaver CS","2023","Declared disabled","SEO/HEO","935","[c]","37760","36540"
"Leaver CS","2023","Declared disabled","Unknown","350","[c]","36830","33870"
"Leaver CS","2023","Declared non-disabled","AA/AO","9485","[c]","22390","21690"
"Leaver CS","2023","Declared non-disabled","EO","6270","[c]","28390","28120"
"Leaver CS","2023","Declared non-disabled","G6/G7","2995","[c]","60730","58430"
"Leaver CS","2023","Declared non-disabled","SCS level","440","[c]","99240","91410"
"Leaver CS","2023","Declared non-disabled","SEO/HEO","5930","[c]","38410","37910"
"Leaver CS","2023","Declared non-disabled","Unknown","1180","[c]","41490","34480"
"Leaver CS","2023","Undeclared","AA/AO","970","[c]","22770","21690"
"Leaver CS","2023","Undeclared","EO","490","[c]","28490","28100"
"Leaver CS","2023","Undeclared","G6/G7","250","[c]","61100","57930"
"Leaver CS","2023","Undeclared","SCS level","35","[c]","94680","86160"
"Leaver CS","2023","Undeclared","SEO/HEO","550","[c]","38600","37760"
"Leaver CS","2023","Undeclared","Unknown","95","[c]","[c]","[c]"
"Leaver CS","2023","Unknown","AA/AO","4895","[c]","22970","22220"
"Leaver CS","2023","Unknown","EO","2290","[c]","28830","28120"
"Leaver CS","2023","Unknown","G6/G7","1550","[c]","60490","57810"
"Leaver CS","2023","Unknown","SCS level","200","[c]","102370","94660"
"Leaver CS","2023","Unknown","SEO/HEO","2670","[c]","37800","37750"
"Leaver CS","2023","Unknown","Unknown","755","[c]","36160","33690"
"Leaver Dept.","2023","Declared disabled","AA/AO","295","[c]","22150","21690"
"Leaver Dept.","2023","Declared disabled","EO","395","[c]","28290","28120"
"Leaver Dept.","2023","Declared disabled","G6/G7","215","[c]","57830","55400"
"Leaver Dept.","2023","Declared disabled","SCS level","30","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared disabled","SEO/HEO","515","[c]","36570","35650"
"Leaver Dept.","2023","Declared disabled","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2023","Declared non-disabled","AA/AO","1645","[c]","22140","21690"
