"Status","Year","Organisation","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","Female","75","65","32620","31940"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","Male","45","45","36120","31940"
"In post","2023","Accountant in Bankruptcy","Glasgow City","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Glasgow City","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","East Sussex CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","East Sussex CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","Outside London","Male","5","5","[c]","[c]"
"In post","2023","Active Travel England","Swansea","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Swansea","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Westminster","London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Westminster","London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","York","Outside London","Female","15","10","[c]","[c]"
"In post","2023","Active Travel England","York","Outside London","Male","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","Female","50","45","33110","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","Male","25","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Breckland and South Norfolk","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Breckland and South Norfolk","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bridgend and Neath Port Talbot","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bridgend and Neath Port Talbot","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","Female","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","Male","20","20","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","Female","55","50","30970","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","Male","30","25","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Central Hampshire","Outside London","Female","[c]","[c]","[c]","[c]"
