"Status","Year","Disability","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Nottingham","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Cambridgeshire CC","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Norwich and East Norfolk","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Peterborough","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","West Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Brent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Croydon","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Enfield","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Hounslow and Richmond upon Thames","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Lambeth","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Tower Hamlets","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","Westminster","145","140","57310","55320"
"In post","2023","Declared disabled","Commercial","North East (England)","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","Durham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","Northumberland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","Sunderland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","Tyneside","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Blackpool","30","30","41260","38470"
"In post","2023","Declared disabled","Commercial","North West (England)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Greater Manchester South West","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Liverpool","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Manchester","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Warrington","10","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","Wirral","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Northern Ireland","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Northern Ireland","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Glasgow City","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","South Lanarkshire","5","5","[c]","[c]"
