"Status","Year","Disability","Function_of_post","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Active Travel England","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Active Travel England","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Building Digital UK","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Building Digital UK","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Building Digital UK","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Building Digital UK","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cabinet Office (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","East of England","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Central Civil Service Fast Stream","North West (England)","[c]","[c]","[c]","[c]"
