"Status","Year","Disability","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","10","5","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","20","20","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","175","160","32650","32110"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","415","395","29580","25920"
"In post","2023","Declared disabled","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","London","425","415","49790","43930"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Outside London","350","335","37780","34320"
"In post","2023","Declared disabled","Cabinet Office (excl. agencies)","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","London","215","215","30840","30130"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Outside London","100","100","30420","30130"
"In post","2023","Declared disabled","Central Civil Service Fast Stream","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","55","50","31960","30320"
"In post","2023","Declared disabled","Charity Commission","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","Outside London","30","30","[c]","[c]"
"In post","2023","Declared disabled","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Companies House","Outside London","105","95","31530","25610"
"In post","2023","Declared disabled","Competition and Markets Authority","London","45","45","55100","44310"
"In post","2023","Declared disabled","Competition and Markets Authority","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Outside London","45","40","25310","25830"
"In post","2023","Declared disabled","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Crown Commercial Service","Outside London","60","60","41560","40450"
"In post","2023","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","160","150","38850","31540"
