"Status","Year","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","UK Supreme Court","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","UK Supreme Court","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","UK Supreme Court","SEO/HEO","HEO","Female","5","5","[c]","[c]"
"In post","2023","UK Supreme Court","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","UK Supreme Court","SEO/HEO","SEO","Female","5","5","[c]","[c]"
"In post","2023","UK Supreme Court","SEO/HEO","SEO","Male","10","10","[c]","[c]"
"In post","2023","Water Services Regulation Authority","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Water Services Regulation Authority","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Water Services Regulation Authority","EO","EO","Female","25","25","[c]","[c]"
"In post","2023","Water Services Regulation Authority","EO","EO","Male","15","15","[c]","[c]"
"In post","2023","Water Services Regulation Authority","G6/G7","G6","Female","15","15","[c]","[c]"
"In post","2023","Water Services Regulation Authority","G6/G7","G6","Male","15","15","[c]","[c]"
"In post","2023","Water Services Regulation Authority","G6/G7","G7","Female","15","15","[c]","[c]"
"In post","2023","Water Services Regulation Authority","G6/G7","G7","Male","30","30","73730","74500"
"In post","2023","Water Services Regulation Authority","SCS level","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Water Services Regulation Authority","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Water Services Regulation Authority","SEO/HEO","HEO","Female","50","50","42720","42340"
"In post","2023","Water Services Regulation Authority","SEO/HEO","HEO","Male","45","45","42660","42500"
"In post","2023","Water Services Regulation Authority","SEO/HEO","SEO","Female","20","15","[c]","[c]"
"In post","2023","Water Services Regulation Authority","SEO/HEO","SEO","Male","25","25","[c]","[c]"
"In post","2023","Welsh Government","AA/AO","AO","Female","525","470","25110","25620"
"In post","2023","Welsh Government","AA/AO","AO","Male","320","305","25160","25620"
"In post","2023","Welsh Government","EO","EO","Female","625","580","29810","30610"
"In post","2023","Welsh Government","EO","EO","Male","450","440","29920","30610"
"In post","2023","Welsh Government","G6/G7","G6","Female","110","105","74590","76990"
"In post","2023","Welsh Government","G6/G7","G6","Male","120","115","75360","76990"
"In post","2023","Welsh Government","G6/G7","G7","Female","530","500","61780","63900"
"In post","2023","Welsh Government","G6/G7","G7","Male","420","405","62220","63900"
"In post","2023","Welsh Government","SCS level","SCS level","Female","85","80","86890","81600"
"In post","2023","Welsh Government","SCS level","SCS level","Male","110","105","92470","83390"
"In post","2023","Welsh Government","SEO/HEO","HEO","Female","960","890","38470","39690"
"In post","2023","Welsh Government","SEO/HEO","HEO","Male","510","495","38380","39690"
"In post","2023","Welsh Government","SEO/HEO","SEO","Female","780","735","47750","49370"
"In post","2023","Welsh Government","SEO/HEO","SEO","Male","510","500","47740","49370"
"Leaver CS","2023","Attorney General's Departments","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Attorney General's Departments","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Attorney General's Departments","AA/AO","AO","Female","120","[c]","22830","22870"
"Leaver CS","2023","Attorney General's Departments","AA/AO","AO","Male","55","[c]","23070","22870"
"Leaver CS","2023","Attorney General's Departments","EO","EO","Female","95","[c]","28260","27980"
"Leaver CS","2023","Attorney General's Departments","EO","EO","Male","35","[c]","28410","28180"
"Leaver CS","2023","Attorney General's Departments","G6/G7","G6","Female","45","[c]","69390","68520"
"Leaver CS","2023","Attorney General's Departments","G6/G7","G6","Male","50","[c]","70130","68280"
"Leaver CS","2023","Attorney General's Departments","G6/G7","G7","Female","150","[c]","55310","54100"
"Leaver CS","2023","Attorney General's Departments","G6/G7","G7","Male","95","[c]","56830","56450"
"Leaver CS","2023","Attorney General's Departments","SCS level","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Attorney General's Departments","SCS level","SCS level","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Attorney General's Departments","SEO/HEO","HEO","Female","40","[c]","34750","33810"
"Leaver CS","2023","Attorney General's Departments","SEO/HEO","HEO","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Attorney General's Departments","SEO/HEO","SEO","Female","35","[c]","40080","39570"
"Leaver CS","2023","Attorney General's Departments","SEO/HEO","SEO","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Cabinet Office","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Cabinet Office","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Cabinet Office","AA/AO","AO","Female","60","[c]","20620","21050"
"Leaver CS","2023","Cabinet Office","AA/AO","AO","Male","45","[c]","20180","20740"
"Leaver CS","2023","Cabinet Office","EO","EO","Female","70","[c]","26880","27500"
"Leaver CS","2023","Cabinet Office","EO","EO","Male","50","[c]","26640","27110"
"Leaver CS","2023","Cabinet Office","G6/G7","G6","Female","60","[c]","68480","66530"
"Leaver CS","2023","Cabinet Office","G6/G7","G6","Male","60","[c]","71710","68600"
"Leaver CS","2023","Cabinet Office","G6/G7","G7","Female","140","[c]","58060","56430"
"Leaver CS","2023","Cabinet Office","G6/G7","G7","Male","160","[c]","58330","56430"
"Leaver CS","2023","Cabinet Office","SCS level","SCS level","Female","35","[c]","107680","103000"
"Leaver CS","2023","Cabinet Office","SCS level","SCS level","Male","50","[c]","115340","103090"
"Leaver CS","2023","Cabinet Office","SEO/HEO","HEO","Female","165","[c]","32870","33020"
"Leaver CS","2023","Cabinet Office","SEO/HEO","HEO","Male","115","[c]","32890","33020"
"Leaver CS","2023","Cabinet Office","SEO/HEO","SEO","Female","75","[c]","40250","40600"
"Leaver CS","2023","Cabinet Office","SEO/HEO","SEO","Male","55","[c]","41010","40600"
"Leaver CS","2023","Chancellor's other departments","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","EO","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","EO","EO","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","G6/G7","G6","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","G6/G7","G6","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","G6/G7","G7","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","SEO/HEO","HEO","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","SEO/HEO","HEO","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","SEO/HEO","SEO","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Chancellor's other departments","SEO/HEO","SEO","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","EO","EO","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","EO","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","SEO/HEO","HEO","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Charity Commission","SEO/HEO","SEO","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","AA/AO","AO","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","EO","EO","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","EO","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","G6/G7","G6","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","G6/G7","G6","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","G6/G7","G7","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","G6/G7","G7","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","SCS level","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","SEO/HEO","HEO","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","SEO/HEO","HEO","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","SEO/HEO","SEO","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Competition and Markets Authority","SEO/HEO","SEO","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","AA/AO","AA","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","AA/AO","AA","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","AA/AO","AO","Female","80","[c]","22530","22180"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","AA/AO","AO","Male","50","[c]","22150","21810"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","EO","EO","Female","75","[c]","26540","25630"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","EO","EO","Male","75","[c]","27010","26570"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","G6/G7","G6","Female","35","[c]","66980","66210"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","G6/G7","G6","Male","60","[c]","66590","64990"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","G6/G7","G7","Female","110","[c]","53220","53380"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","G6/G7","G7","Male","120","[c]","53880","53430"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","Female","115","[c]","33530","33570"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","Male","120","[c]","33740","33570"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","Female","95","[c]","40780","40050"
"Leaver CS","2023","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","Male","135","[c]","41790","40340"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","EO","EO","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","EO","EO","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","G6/G7","G6","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","G6/G7","G6","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","G6/G7","G7","Female","40","[c]","54340","53030"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","G6/G7","G7","Male","40","[c]","54770","53030"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","SCS level","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","Female","55","[c]","35450","35040"
"Leaver CS","2023","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","Male","45","[c]","35830","35620"
"Leaver CS","2023","Department for Education","AA/AO","AO","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Department for Education","AA/AO","AO","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for Education","EO","EO","Female","45","[c]","25550","25900"
"Leaver CS","2023","Department for Education","EO","EO","Male","35","[c]","24620","25900"
"Leaver CS","2023","Department for Education","G6/G7","G6","Female","30","[c]","[c]","[c]"
"Leaver CS","2023","Department for Education","G6/G7","G6","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Department for Education","G6/G7","G7","Female","60","[c]","54220","52150"
"Leaver CS","2023","Department for Education","G6/G7","G7","Male","65","[c]","54420","52150"
"Leaver CS","2023","Department for Education","SCS level","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for Education","SCS level","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Education","SEO/HEO","HEO","Female","60","[c]","31350","30760"
"Leaver CS","2023","Department for Education","SEO/HEO","HEO","Male","45","[c]","31540","30330"
"Leaver CS","2023","Department for Education","SEO/HEO","SEO","Female","80","[c]","40430","39290"
"Leaver CS","2023","Department for Education","SEO/HEO","SEO","Male","65","[c]","40210","38210"
"Leaver CS","2023","Department for Education","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Education","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","AA/AO","AO","Female","165","[c]","22190","22150"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","AA/AO","AO","Male","115","[c]","22230","22150"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","EO","EO","Female","160","[c]","26270","25920"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","EO","EO","Male","110","[c]","26060","25920"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","G6/G7","G6","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","G6/G7","G6","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","G6/G7","G7","Female","60","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","G6/G7","G7","Male","70","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","SCS level","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","SCS level","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","Female","105","[c]","31260","30430"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","Male","90","[c]","31420","30480"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","Female","90","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","Male","90","[c]","39090","38110"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Unknown","Unknown","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for Environment, Food and Rural Affairs","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","EO","EO","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","EO","EO","Male","40","[c]","22830","26250"
"Leaver CS","2023","Department for International Trade","G6/G7","G6","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","G6/G7","G6","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","G6/G7","G7","Female","35","[c]","54030","53780"
"Leaver CS","2023","Department for International Trade","G6/G7","G7","Male","35","[c]","54870","54900"
"Leaver CS","2023","Department for International Trade","SCS level","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","SEO/HEO","HEO","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","SEO/HEO","HEO","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","SEO/HEO","SEO","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Department for International Trade","SEO/HEO","SEO","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","AA/AO","AA","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","AA/AO","AA","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","AA/AO","AO","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","AA/AO","AO","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","EO","EO","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","EO","EO","Male","20","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","G6/G7","G6","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","G6/G7","G6","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","G6/G7","G7","Female","40","[c]","52300","53130"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","G6/G7","G7","Male","40","[c]","52580","53240"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","SCS level","SCS level","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","SCS level","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","Female","35","[c]","32750","33210"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","Male","50","[c]","33290","33210"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","Female","35","[c]","40340","39950"
"Leaver CS","2023","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Department for Transport","AA/AO","AA","Female","100","[c]","18800","19000"
"Leaver CS","2023","Department for Transport","AA/AO","AA","Male","50","[c]","19150","19000"
"Leaver CS","2023","Department for Transport","AA/AO","AO","Female","305","[c]","22330","22500"
"Leaver CS","2023","Department for Transport","AA/AO","AO","Male","270","[c]","23950","22500"
"Leaver CS","2023","Department for Transport","EO","EO","Female","130","[c]","27650","26960"
"Leaver CS","2023","Department for Transport","EO","EO","Male","330","[c]","28000","26960"
"Leaver CS","2023","Department for Transport","G6/G7","G6","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Department for Transport","G6/G7","G6","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Department for Transport","G6/G7","G7","Female","45","[c]","55440","55740"
"Leaver CS","2023","Department for Transport","G6/G7","G7","Male","70","[c]","56780","55740"
"Leaver CS","2023","Department for Transport","SCS level","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Transport","SCS level","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Transport","SEO/HEO","HEO","Female","60","[c]","32650","31940"
"Leaver CS","2023","Department for Transport","SEO/HEO","HEO","Male","100","[c]","33430","33150"
"Leaver CS","2023","Department for Transport","SEO/HEO","SEO","Female","50","[c]","42310","42470"
"Leaver CS","2023","Department for Transport","SEO/HEO","SEO","Male","85","[c]","43390","43040"
"Leaver CS","2023","Department for Work and Pensions","AA/AO","AA","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Department for Work and Pensions","AA/AO","AA","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Department for Work and Pensions","AA/AO","AO","Female","2100","[c]","21850","21690"
"Leaver CS","2023","Department for Work and Pensions","AA/AO","AO","Male","1085","[c]","21890","21690"
"Leaver CS","2023","Department for Work and Pensions","EO","EO","Female","2710","[c]","28620","28120"
"Leaver CS","2023","Department for Work and Pensions","EO","EO","Male","1480","[c]","28640","28120"
"Leaver CS","2023","Department for Work and Pensions","G6/G7","G6","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Department for Work and Pensions","G6/G7","G6","Male","55","[c]","71670","72550"
"Leaver CS","2023","Department for Work and Pensions","G6/G7","G7","Female","85","[c]","53880","53320"
"Leaver CS","2023","Department for Work and Pensions","G6/G7","G7","Male","125","[c]","56910","56140"
"Leaver CS","2023","Department for Work and Pensions","SCS level","SCS level","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Department for Work and Pensions","SCS level","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Department for Work and Pensions","SEO/HEO","HEO","Female","230","[c]","35020","34290"
"Leaver CS","2023","Department for Work and Pensions","SEO/HEO","HEO","Male","155","[c]","35270","34290"
"Leaver CS","2023","Department for Work and Pensions","SEO/HEO","SEO","Female","155","[c]","40720","39200"
"Leaver CS","2023","Department for Work and Pensions","SEO/HEO","SEO","Male","165","[c]","44350","41480"
"Leaver CS","2023","Department of Health and Social Care","AA/AO","AA","Female","40","[c]","20870","20100"
"Leaver CS","2023","Department of Health and Social Care","AA/AO","AA","Male","15","[c]","[c]","[c]"
"Leaver CS","2023","Department of Health and Social Care","AA/AO","AO","Female","145","[c]","21550","20880"
"Leaver CS","2023","Department of Health and Social Care","AA/AO","AO","Male","60","[c]","21840","21590"
"Leaver CS","2023","Department of Health and Social Care","EO","EO","Female","305","[c]","26270","26880"
"Leaver CS","2023","Department of Health and Social Care","EO","EO","Male","115","[c]","26410","26930"
"Leaver CS","2023","Department of Health and Social Care","G6/G7","G6","Female","130","[c]","67590","66260"
"Leaver CS","2023","Department of Health and Social Care","G6/G7","G6","Male","85","[c]","66220","66230"
"Leaver CS","2023","Department of Health and Social Care","G6/G7","G7","Female","235","[c]","52900","52610"
"Leaver CS","2023","Department of Health and Social Care","G6/G7","G7","Male","175","[c]","53090","53360"
"Leaver CS","2023","Department of Health and Social Care","SCS level","SCS level","Female","90","[c]","94230","88680"
"Leaver CS","2023","Department of Health and Social Care","SCS level","SCS level","Male","85","[c]","101980","100840"
"Leaver CS","2023","Department of Health and Social Care","SEO/HEO","HEO","Female","395","[c]","32500","32790"
"Leaver CS","2023","Department of Health and Social Care","SEO/HEO","HEO","Male","200","[c]","31820","32330"
"Leaver CS","2023","Department of Health and Social Care","SEO/HEO","SEO","Female","390","[c]","40280","40780"
"Leaver CS","2023","Department of Health and Social Care","SEO/HEO","SEO","Male","175","[c]","39960","40650"
"Leaver CS","2023","Estyn","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Estyn","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Estyn","EO","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Estyn","EO","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Estyn","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Estyn","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Estyn","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Estyn","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","AA/AO","AO","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","EO","EO","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","EO","EO","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","G6/G7","G7","Female","5","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","SEO/HEO","HEO","Female","15","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","SEO/HEO","HEO","Male","5","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","SEO/HEO","SEO","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Food Standards Agency","SEO/HEO","SEO","Male","10","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","AA/AO","AO","Female","35","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","AA/AO","AO","Male","30","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","EO","EO","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","EO","EO","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","G6/G7","G6","Female","20","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","G6/G7","G6","Male","35","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","G6/G7","G7","Female","50","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","G6/G7","G7","Male","40","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","SCS level","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","SCS level","SCS level","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","Female","50","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","Male","40","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","Female","25","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","Male","25","[c]","[c]","[c]"
"Leaver CS","2023","Foreign, Commonwealth and Development Office","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
