"Status","Year","Function_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Cheshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Cumbria","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cumbria","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Heterosexual / straight","80","75","41340","39410"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Unknown","15","15","[c]","[c]"
