"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","East Midlands (England)","Female","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","Female","275","270","45720","41540"
"In post","2023","Asian","Analysis","London","Male","280","275","45680","41840"
"In post","2023","Asian","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","Female","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","Male","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Female","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Male","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","Female","10","5","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","Female","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","Male","15","15","[c]","[c]"
