"Status","Year","Ethnicity","Function_of_post","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","EO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Chancellor's other departments","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","EO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","EO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education","SEO/HEO","30","30","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","G6/G7","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","EO","10","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department of Health and Social Care","EO","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department of Health and Social Care","G6/G7","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department of Health and Social Care","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
