"Status","Year","Ethnicity","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","Bedfordshire and Hertfordshire","30","30","46390","54100"
"In post","2023","Asian","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Derbyshire and Nottinghamshire","20","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Anglia","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Wales","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Essex","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Greater Manchester","35","35","40480","38940"
"In post","2023","Asian","Attorney General's Departments","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Inner London - East","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Inner London - West","730","685","45630","52020"
"In post","2023","Asian","Attorney General's Departments","Kent","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Lancashire","25","25","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","60","55","36120","28850"
"In post","2023","Asian","Attorney General's Departments","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Merseyside","5","5","[c]","[c]"
