"Status","Year","Disability","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Heterosexual / straight","460","420","34320","31280"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Outside London","LGBO","50","50","30120","29350"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Undeclared","60","55","31230","30120"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Unknown","30","25","33340","30810"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Heterosexual / straight","850","800","34170","31280"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","LGBO","95","95","32870","31280"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Undeclared","120","110","34670","32030"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","55","50","33510","29480"
"In post","2023","Declared disabled","Cheshire","Outside London","Heterosexual / straight","420","380","31530","28120"
"In post","2023","Declared disabled","Cheshire","Outside London","LGBO","45","45","32570","28120"
"In post","2023","Declared disabled","Cheshire","Outside London","Undeclared","55","50","34090","32420"
"In post","2023","Declared disabled","Cheshire","Outside London","Unknown","25","20","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","200","175","28580","28120"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Outside London","LGBO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Outside London","Undeclared","25","20","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Outside London","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Outside London","Heterosexual / straight","285","260","29680","26080"
"In post","2023","Declared disabled","Cumbria","Outside London","LGBO","30","25","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Outside London","Undeclared","35","30","28720","23530"
"In post","2023","Declared disabled","Cumbria","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","1475","1350","31800","28120"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Outside London","LGBO","190","180","31620","28120"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Outside London","Undeclared","210","195","31160","28120"
