"Status","Year","Disability","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Analysis","55","55","43750","39300"
"In post","2023","Declared disabled","Asian","Commercial","45","45","46600","40420"
"In post","2023","Declared disabled","Asian","Communications","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Counter Fraud","155","145","32480","32260"
"In post","2023","Declared disabled","Asian","Debt","95","85","24460","22520"
"In post","2023","Declared disabled","Asian","Digital, Data & Technology","145","140","41720","37870"
"In post","2023","Declared disabled","Asian","Finance","85","85","40060","37850"
"In post","2023","Declared disabled","Asian","Grants Management","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Human Resources","115","110","38820","38470"
"In post","2023","Declared disabled","Asian","Internal Audit","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Legal","135","125","42670","35000"
"In post","2023","Declared disabled","Asian","No function","2465","2230","31330","28120"
"In post","2023","Declared disabled","Asian","Project Delivery","135","130","43160","40340"
"In post","2023","Declared disabled","Asian","Property","40","40","43750","39850"
"In post","2023","Declared disabled","Asian","Security","35","35","34340","33110"
"In post","2023","Declared disabled","Asian","Unknown","85","85","36790","32960"
"In post","2023","Declared disabled","Black","Analysis","25","25","[c]","[c]"
"In post","2023","Declared disabled","Black","Commercial","15","15","[c]","[c]"
"In post","2023","Declared disabled","Black","Communications","10","10","[c]","[c]"
"In post","2023","Declared disabled","Black","Counter Fraud","110","95","31490","32520"
"In post","2023","Declared disabled","Black","Debt","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Digital, Data & Technology","80","80","41920","39350"
"In post","2023","Declared disabled","Black","Finance","30","30","37710","37020"
"In post","2023","Declared disabled","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Human Resources","65","60","42020","38590"
"In post","2023","Declared disabled","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Black","Legal","80","75","41760","36920"
"In post","2023","Declared disabled","Black","No function","1650","1540","32640","31270"
"In post","2023","Declared disabled","Black","Project Delivery","80","80","43680","40600"
"In post","2023","Declared disabled","Black","Property","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Security","20","20","[c]","[c]"
"In post","2023","Declared disabled","Black","Unknown","30","30","42580","39150"
"In post","2023","Declared disabled","Mixed","Analysis","30","30","44710","39300"
"In post","2023","Declared disabled","Mixed","Commercial","25","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Communications","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Counter Fraud","50","50","31590","31770"
"In post","2023","Declared disabled","Mixed","Debt","20","20","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Digital, Data & Technology","60","60","42850","40390"
"In post","2023","Declared disabled","Mixed","Finance","30","25","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Grants Management","10","10","[c]","[c]"
"In post","2023","Declared disabled","Mixed","Human Resources","65","65","41710","37720"
"In post","2023","Declared disabled","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
