"Status","Year","Function_of_post","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Female","55","55","31030","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Male","55","55","31200","30130"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","245","230","33390","30350"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","255","250","38090","37300"
"In post","2023","Analysis","Charity Commission","Charity Commission","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Charity Commission","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","Female","50","45","64570","58050"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","Male","95","90","62420","57860"
