"Status","Year","Organisation","Parent_department","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Leeds","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Leeds","SEO/HEO","45","40","35310","33940"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Manchester","EO","55","55","25520","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Manchester","SEO/HEO","75","70","35400","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Medway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Mid Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Mid Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North Hampshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North Hampshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North Hampshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North Hampshire","SEO/HEO","10","10","39330","41070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Nottingham","AA/AO","15","10","20930","20790"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Nottingham","EO","35","35","25290","25160"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Nottingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Nottingham","SCS level","[c]","[c]","[c]","[c]"
