"Status","Year","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Heterosexual / straight","75","65","36430","33520"
"In post","2023","Accountant in Bankruptcy","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Unknown","45","45","29280","24890"
"In post","2023","Active Travel England","Department for Transport","Heterosexual / straight","30","30","48350","43160"
"In post","2023","Active Travel England","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Unknown","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","705","640","35480","32310"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","LGBO","55","55","33590","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Undeclared","105","95","35750","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","145","140","29400","25160"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Heterosexual / straight","2245","2140","31300","29080"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","LGBO","195","195","28730","25920"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Undeclared","350","330","33590","30320"
"In post","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","305","285","30440","25920"
"In post","2023","Attorney General's Office","Attorney General's Departments","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Office","Attorney General's Departments","Unknown","30","30","58870","56290"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Heterosexual / straight","160","155","47670","52760"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","LGBO","20","20","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Undeclared","15","15","[c]","[c]"
"In post","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","Unknown","35","35","43180","39040"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Heterosexual / straight","4015","3885","47690","41870"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","LGBO","455","450","45950","41870"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Undeclared","440","425","49320","50990"
"In post","2023","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","1005","980","49050","41870"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Heterosexual / straight","375","375","32520","32960"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","LGBO","70","70","32120","32960"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Undeclared","50","50","32510","32960"
"In post","2023","Central Civil Service Fast Stream","Cabinet Office","Unknown","1170","1165","29970","30130"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Heterosexual / straight","270","255","36420","30820"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","LGBO","30","30","[c]","[c]"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Undeclared","35","30","37040","37300"
"In post","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","325","310","35770","30820"
"In post","2023","Charity Commission","Charity Commission","Heterosexual / straight","280","265","36650","30170"
"In post","2023","Charity Commission","Charity Commission","LGBO","25","25","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Undeclared","15","15","[c]","[c]"
"In post","2023","Charity Commission","Charity Commission","Unknown","180","170","34910","30170"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","870","815","33010","28070"
"In post","2023","Companies House","Department for Business, Energy and Industrial Strategy","LGBO","45","40","30440","25610"
