"Status","Year","Age","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Economics","EO","30","30","26510","25490"
"In post","2023","16-19","Analysis","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Research","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Science and Engineering","AO","10","10","23340","23340"
"In post","2023","16-19","Analysis","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Statistics","EO","5","5","[c]","[c]"
"In post","2023","16-19","Commercial","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Other","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Counter Fraud","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Operational Delivery","AO","45","45","22720","22520"
"In post","2023","16-19","Debt","Other","AO","10","10","[c]","[c]"
"In post","2023","16-19","Debt","Tax","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","AA","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","AO","10","10","22360","21690"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","EO","15","15","28060","28120"
"In post","2023","16-19","Digital, Data & Technology","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
