"Status","Year","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","London","4830","4560","51090","52790"
"In post","2023","Attorney General's Departments","Outside London","5900","5500","41370","38760"
"In post","2023","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","London","5585","5500","51850","51290"
"In post","2023","Cabinet Office","Outside London","4465","4335","44760","38460"
"In post","2023","Cabinet Office","Unknown","175","170","42980","35740"
"In post","2023","Chancellor's other departments","London","350","335","62560","55180"
"In post","2023","Chancellor's other departments","Outside London","75","75","50600","45450"
"In post","2023","Charity Commission","London","80","80","45710","41370"
"In post","2023","Charity Commission","Outside London","420","400","33910","30170"
"In post","2023","Competition and Markets Authority","London","795","770","62880","58330"
"In post","2023","Competition and Markets Authority","Outside London","115","115","57800","55950"
"In post","2023","Department for Business, Energy and Industrial Strategy","London","5735","5600","51130","54710"
"In post","2023","Department for Business, Energy and Industrial Strategy","Outside London","8650","8200","37800","35230"
"In post","2023","Department for Business, Energy and Industrial Strategy","Overseas","30","30","34770","37420"
"In post","2023","Department for Digital, Culture, Media and Sport","London","1640","1610","50180","53030"
"In post","2023","Department for Digital, Culture, Media and Sport","Outside London","295","295","42320","36100"
"In post","2023","Department for Education","London","2405","2310","52210","55020"
"In post","2023","Department for Education","Outside London","6080","5870","42810","37880"
"In post","2023","Department for Environment, Food and Rural Affairs","London","2645","2575","46160","40270"
"In post","2023","Department for Environment, Food and Rural Affairs","Outside London","10420","9875","34380","30320"
"In post","2023","Department for Environment, Food and Rural Affairs","Unknown","5","5","[c]","[c]"
"In post","2023","Department for International Trade","London","2690","2660","49260","43290"
"In post","2023","Department for International Trade","Outside London","670","650","43170","41550"
"In post","2023","Department for International Trade","Overseas","175","175","57480","55370"
"In post","2023","Department for Levelling Up, Housing and Communities","London","2180","2130","51100","54630"
"In post","2023","Department for Levelling Up, Housing and Communities","Outside London","2000","1885","43930","41560"
"In post","2023","Department for Transport","London","3390","3295","50110","45180"
"In post","2023","Department for Transport","Outside London","12980","11940","30340","27260"
"In post","2023","Department for Transport","Overseas","15","15","64610","61940"
"In post","2023","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Department for Work and Pensions","London","9190","8510","36380","32520"
"In post","2023","Department for Work and Pensions","Outside London","78240","69775","29130","28120"
"In post","2023","Department for Work and Pensions","Unknown","340","325","34000","28120"
"In post","2023","Department of Health and Social Care","London","5455","5250","50080","42990"
"In post","2023","Department of Health and Social Care","Outside London","4810","4565","45180","39890"
"In post","2023","Department of Health and Social Care","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Estyn","Outside London","125","115","60010","78500"
"In post","2023","Food Standards Agency","London","225","220","45670","41160"
"In post","2023","Food Standards Agency","Outside London","1350","1310","37830","33320"
