"Status","Year","Age","Disability","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Education Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of the Public Guardian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Scottish Public Pensions Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Social Security Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Submarine Delivery Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Health Security Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Health Security Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Welsh Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Animal and Plant Health Agency","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Building Digital UK","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Office and Procurator Fiscal Service","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Crown Prosecution Service","Outside London","35","35","20980","19560"
"In post","2023","16-19","Declared non-disabled","Defence Electronics and Components Agency","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Defence Equipment and Support","Outside London","20","20","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Digital, Culture, Media and Sport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department for Work and Pensions (excl. agencies)","Outside London","55","55","23110","21690"
"In post","2023","16-19","Declared non-disabled","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Driver and Vehicle Licensing Agency","Outside London","45","40","21040","22500"
"In post","2023","16-19","Declared non-disabled","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Education Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","FCDO Services","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Forestry and Land Scotland","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Courts and Tribunals Service","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Prison and Probation Service","Outside London","180","180","26040","28880"
"In post","2023","16-19","Declared non-disabled","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Outside London","95","90","23080","22520"
"In post","2023","16-19","Declared non-disabled","HM Treasury (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Health and Safety Executive","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Met Office","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of the Public Guardian","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scottish Government (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Scottish Public Pensions Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Social Security Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Submarine Delivery Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Health Security Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Health Security Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","UK Statistics Authority","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Valuation Office Agency","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared non-disabled","Welsh Government (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Undeclared","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Department for Work and Pensions (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","HM Prison and Probation Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","HM Revenue and Customs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Social Security Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Cabinet Office (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Crown Prosecution Service","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Defence Equipment and Support","Outside London","80","80","18930","18780"
"In post","2023","16-19","Unknown","Defence Science and Technology Laboratory","Outside London","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Education (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Driver and Vehicle Licensing Agency","Outside London","30","25","20310","19000"
"In post","2023","16-19","Unknown","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Education Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","FCDO Services","Outside London","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","HM Courts and Tribunals Service","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","HM Land Registry","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","HM Prison and Probation Service","London","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","HM Prison and Probation Service","Outside London","95","90","25890","24070"
"In post","2023","16-19","Unknown","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","HM Revenue and Customs (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","HM Revenue and Customs (excl. agencies)","Outside London","65","65","22840","22520"
"In post","2023","16-19","Unknown","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Home Office","London","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","Home Office","Outside London","105","100","23040","22400"
"In post","2023","16-19","Unknown","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Defence (excl. agencies)","Outside London","35","35","22720","22220"
"In post","2023","16-19","Unknown","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Office of the Public Guardian","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Royal Fleet Auxiliary","Unknown","30","30","[c]","[c]"
"In post","2023","16-19","Unknown","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scottish Government (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Scottish Prison Service","Outside London","15","15","[c]","[c]"
"In post","2023","16-19","Unknown","Scottish Public Pensions Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Social Security Scotland","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Submarine Delivery Agency","Outside London","20","20","[c]","[c]"
"In post","2023","16-19","Unknown","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","UK Health Security Agency","London","[c]","[c]","[c]","[c]"
