"Status","Year","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2023","Scottish Courts and Tribunals Service","Scottish Government","30","[c]","30710","28540"
"Leaver Dept.","2023","Scottish Forestry","Scottish Government","10","[c]","37950","32220"
"Leaver Dept.","2023","Scottish Government (excl. agencies)","Scottish Government","50","[c]","46630","43870"
"Leaver Dept.","2023","Scottish Prison Service","Scottish Government","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Serious Fraud Office","Attorney General's Departments","25","[c]","48970","47140"
"Leaver Dept.","2023","Social Security Scotland","Scottish Government","20","[c]","33300","30440"
"Leaver Dept.","2023","Standards and Testing Agency","Department for Education","10","[c]","[c]","[c]"
"Leaver Dept.","2023","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Submarine Delivery Agency","Ministry of Defence","15","[c]","40530","38790"
"Leaver Dept.","2023","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","The Insolvency Service","Department for Business, Energy and Industrial Strategy","75","[c]","28690","24620"
"Leaver Dept.","2023","The National Archives","The National Archives","10","[c]","35020","35040"
"Leaver Dept.","2023","UK Export Finance","UK Export Finance","15","[c]","39230","34000"
"Leaver Dept.","2023","UK Health Security Agency","Department of Health and Social Care","210","[c]","42810","37920"
"Leaver Dept.","2023","UK Hydrographic Office","Ministry of Defence","10","[c]","[c]","[c]"
"Leaver Dept.","2023","UK Space Agency","Department for Business, Energy and Industrial Strategy","35","[c]","46340","41360"
"Leaver Dept.","2023","UK Statistics Authority","UK Statistics Authority","245","[c]","34660","31560"
"Leaver Dept.","2023","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Valuation Office Agency","HM Revenue and Customs","90","[c]","29930","26020"
"Leaver Dept.","2023","Vehicle Certification Agency","Department for Transport","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2023","Water Services Regulation Authority","Water Services Regulation Authority","10","[c]","50220","51630"
"Leaver Dept.","2023","Welsh Government (excl. agencies)","Welsh Government","70","[c]","42720","38160"
"Leaver Dept.","2023","Welsh Revenue Authority","Welsh Government","5","[c]","[c]","[c]"
"Leaver Dept.","2023","Wilton Park","Foreign, Commonwealth and Development Office","5","[c]","[c]","[c]"
"New entrant CS","2023","Accountant in Bankruptcy","Scottish Government","15","[c]","24540","22180"
"New entrant CS","2023","Active Travel England","Department for Transport","30","[c]","52100","40560"
"New entrant CS","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","50","[c]","29220","25160"
"New entrant CS","2023","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","550","[c]","26780","25340"
"New entrant CS","2023","Attorney General's Office","Attorney General's Departments","10","[c]","26120","24280"
"New entrant CS","2023","Building Digital UK","Department for Digital, Culture, Media and Sport","45","[c]","36190","35040"
"New entrant CS","2023","Cabinet Office (excl. agencies)","Cabinet Office","555","[c]","37780","32640"
"New entrant CS","2023","Central Civil Service Fast Stream","Cabinet Office","495","[c]","28860","28840"
"New entrant CS","2023","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","65","[c]","28810","25970"
"New entrant CS","2023","Charity Commission","Charity Commission","80","[c]","32050","30170"
"New entrant CS","2023","Companies House","Department for Business, Energy and Industrial Strategy","320","[c]","31300","25610"
"New entrant CS","2023","Competition and Markets Authority","Competition and Markets Authority","160","[c]","44660","34110"
"New entrant CS","2023","Criminal Injuries Compensation Authority","Ministry of Justice","40","[c]","23970","21780"
"New entrant CS","2023","Crown Commercial Service","Cabinet Office","45","[c]","33180","31640"
"New entrant CS","2023","Crown Office and Procurator Fiscal Service","Scottish Government","205","[c]","29860","22180"
"New entrant CS","2023","Crown Prosecution Service","Attorney General's Departments","875","[c]","29760","24480"
"New entrant CS","2023","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Defence Equipment and Support","Ministry of Defence","1265","[c]","32470","32500"
"New entrant CS","2023","Defence Science and Technology Laboratory","Ministry of Defence","790","[c]","32160","30650"
"New entrant CS","2023","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","445","[c]","36690","34410"
"New entrant CS","2023","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","150","[c]","35280","35040"
"New entrant CS","2023","Department for Education (excl. agencies)","Department for Education","405","[c]","35400","30330"
"New entrant CS","2023","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","940","[c]","40190","37300"
"New entrant CS","2023","Department for International Trade","Department for International Trade","780","[c]","39380","36250"
"New entrant CS","2023","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","235","[c]","36270","33880"
"New entrant CS","2023","Department for Transport (excl. agencies)","Department for Transport","320","[c]","37500","35400"
"New entrant CS","2023","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","3375","[c]","28130","25610"
"New entrant CS","2023","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","280","[c]","36040","34190"
"New entrant CS","2023","Disclosure Scotland","Scottish Government","30","[c]","28060","22180"
"New entrant CS","2023","Driver and Vehicle Licensing Agency","Department for Transport","645","[c]","22960","22500"
"New entrant CS","2023","Driver and Vehicle Standards Agency","Department for Transport","605","[c]","27020","26780"
"New entrant CS","2023","Education Scotland","Scottish Government","50","[c]","44460","41640"
"New entrant CS","2023","Education and Skills Funding Agency","Department for Education","25","[c]","36430","30330"
"New entrant CS","2023","Estyn","Estyn","20","[c]","44630","30610"
"New entrant CS","2023","Food Standards Agency","Food Standards Agency","165","[c]","32620","31110"
"New entrant CS","2023","Food Standards Scotland","Scottish Government","20","[c]","34160","33520"
"New entrant CS","2023","Government Actuary's Department","Chancellor's other departments","25","[c]","43610","32940"
"New entrant CS","2023","Government Commercial Organisation","Cabinet Office","90","[c]","79560","70930"
"New entrant CS","2023","Government Internal Audit Agency","HM Treasury","50","[c]","44890","42120"
"New entrant CS","2023","Government Legal Department","Attorney General's Departments","315","[c]","40330","38860"
"New entrant CS","2023","Government Property Agency","Cabinet Office","80","[c]","47810","41460"
"New entrant CS","2023","HM Courts and Tribunals Service","Ministry of Justice","1720","[c]","23750","21780"
"New entrant CS","2023","HM Land Registry","HM Land Registry","360","[c]","28500","23390"
"New entrant CS","2023","HM Prison and Probation Service","Ministry of Justice","11620","[c]","26340","24070"
"New entrant CS","2023","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","4795","[c]","28070","22520"
"New entrant CS","2023","HM Treasury (excl. agencies)","HM Treasury","265","[c]","30590","28500"
"New entrant CS","2023","Health and Safety Executive","Department for Work and Pensions","320","[c]","33510","28030"
"New entrant CS","2023","Home Office","Home Office","7790","[c]","26370","25750"
"New entrant CS","2023","Institute for Apprenticeships and Technical Education","Department for Education","55","[c]","37430","37710"
"New entrant CS","2023","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","80","[c]","41120","40020"
"New entrant CS","2023","Legal Aid Agency","Ministry of Justice","85","[c]","22420","21780"
"New entrant CS","2023","Maritime and Coastguard Agency","Department for Transport","185","[c]","30030","26780"
"New entrant CS","2023","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","215","[c]","41730","33940"
"New entrant CS","2023","Met Office","Department for Business, Energy and Industrial Strategy","265","[c]","29920","26650"
"New entrant CS","2023","Ministry of Defence (excl. agencies)","Ministry of Defence","3465","[c]","31280","27140"
"New entrant CS","2023","Ministry of Justice (excl. agencies)","Ministry of Justice","805","[c]","36200","35410"
"New entrant CS","2023","National Crime Agency","National Crime Agency","515","[c]","38170","36040"
"New entrant CS","2023","National Infrastructure Commission","HM Treasury","5","[c]","[c]","[c]"
"New entrant CS","2023","National Records of Scotland","Scottish Government","75","[c]","33520","29100"
"New entrant CS","2023","National Savings and Investments","Chancellor's other departments","35","[c]","45230","43380"
"New entrant CS","2023","Northern Ireland Office","Northern Ireland Office","10","[c]","38950","37680"
"New entrant CS","2023","Office for Budget Responsibility","HM Treasury","5","[c]","[c]","[c]"
"New entrant CS","2023","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","460","[c]","50060","47750"
"New entrant CS","2023","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","470","[c]","39600","33950"
"New entrant CS","2023","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","85","[c]","37170","33230"
"New entrant CS","2023","Office of Rail and Road","Office of Rail and Road","45","[c]","43720","43520"
"New entrant CS","2023","Office of the Public Guardian","Ministry of Justice","335","[c]","22540","21780"
"New entrant CS","2023","Office of the Scottish Charity Regulator","Scottish Government","5","[c]","[c]","[c]"
"New entrant CS","2023","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","25","[c]","42220","48500"
"New entrant CS","2023","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","10","[c]","[c]","[c]"
"New entrant CS","2023","Planning Inspectorate","Department for Levelling Up, Housing and Communities","140","[c]","40070","41840"
"New entrant CS","2023","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","10","[c]","[c]","[c]"
"New entrant CS","2023","Registers of Scotland","Scottish Government","55","[c]","30270","24010"
"New entrant CS","2023","Revenue Scotland","Scottish Government","15","[c]","38820","29450"
"New entrant CS","2023","Royal Fleet Auxiliary","Ministry of Defence","150","[c]","22470","17530"
"New entrant CS","2023","Rural Payments Agency","Department for Environment, Food and Rural Affairs","420","[c]","23210","22150"
"New entrant CS","2023","Scottish Courts and Tribunals Service","Scottish Government","235","[c]","26870","23190"
"New entrant CS","2023","Scottish Fiscal Commission","Scottish Government","5","[c]","[c]","[c]"
"New entrant CS","2023","Scottish Government (excl. agencies)","Scottish Government","885","[c]","39570","33520"
"New entrant CS","2023","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Scottish Prison Service","Scottish Government","405","[c]","27290","24710"
"New entrant CS","2023","Scottish Public Pensions Agency","Scottish Government","70","[c]","27310","25710"
"New entrant CS","2023","Serious Fraud Office","Attorney General's Departments","65","[c]","41020","33330"
"New entrant CS","2023","Social Security Scotland","Scottish Government","1845","[c]","28320","29100"
"New entrant CS","2023","Standards and Testing Agency","Department for Education","10","[c]","40340","37870"
"New entrant CS","2023","Student Awards Agency for Scotland","Scottish Government","70","[c]","24670","22180"
"New entrant CS","2023","Submarine Delivery Agency","Ministry of Defence","260","[c]","33460","32500"
"New entrant CS","2023","Teaching Regulation Agency","Department for Education","10","[c]","[c]","[c]"
"New entrant CS","2023","The Insolvency Service","Department for Business, Energy and Industrial Strategy","70","[c]","29090","24280"
"New entrant CS","2023","The National Archives","The National Archives","105","[c]","31760","29840"
"New entrant CS","2023","Transport Scotland","Scottish Government","50","[c]","36500","33520"
"New entrant CS","2023","UK Debt Management Office","HM Treasury","15","[c]","61120","61000"
"New entrant CS","2023","UK Export Finance","UK Export Finance","95","[c]","48470","42000"
"New entrant CS","2023","UK Health Security Agency","Department of Health and Social Care","965","[c]","41550","37060"
"New entrant CS","2023","UK Hydrographic Office","Ministry of Defence","110","[c]","30690","27610"
"New entrant CS","2023","UK Space Agency","Department for Business, Energy and Industrial Strategy","15","[c]","43350","41060"
"New entrant CS","2023","UK Statistics Authority","UK Statistics Authority","1095","[c]","29680","24840"
"New entrant CS","2023","UK Supreme Court","UK Supreme Court","25","[c]","33270","34240"
"New entrant CS","2023","Valuation Office Agency","HM Revenue and Customs","375","[c]","25590","22520"
"New entrant CS","2023","Vehicle Certification Agency","Department for Transport","25","[c]","27120","27240"
"New entrant CS","2023","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","10","[c]","39610","40260"
"New entrant CS","2023","Water Services Regulation Authority","Water Services Regulation Authority","50","[c]","49950","46370"
"New entrant CS","2023","Welsh Government (excl. agencies)","Welsh Government","310","[c]","33950","32460"
"New entrant CS","2023","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2023","Wilton Park","Foreign, Commonwealth and Development Office","15","[c]","29930","25030"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Parent_department","Government Department, total figures for both Ministerial and Non-Ministerial Departments include all of their Executive Agencies.","","","","","",""
"Organisation","Executive Agencies, Ministerial and Non-Ministerial Departments, Crown Non-departmental Public Bodies.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
