"Status","Year","Function_of_post","Organisation","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","London","Westminster","15","15","46800","39040"
"In post","2023","Analysis","Building Digital UK","North East (England)","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","Westminster","15","15","51180","48830"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Scotland","Glasgow City","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","London","Tower Hamlets","10","10","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","London","Westminster","65","65","31130","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","North West (England)","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","South West (England)","Bristol, City of","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
