"Status","Year","Disability","Region_ITL1","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","East Midlands (England)","Outside London","AA","150","135","21710","21380"
"In post","2023","Declared disabled","East Midlands (England)","Outside London","AO","990","880","23740","21780"
"In post","2023","Declared disabled","East Midlands (England)","Outside London","EO","960","865","28090","28120"
"In post","2023","Declared disabled","East Midlands (England)","Outside London","G6","40","35","73290","71000"
"In post","2023","Declared disabled","East Midlands (England)","Outside London","G7","145","135","56130","56450"
"In post","2023","Declared disabled","East Midlands (England)","Outside London","HEO","450","430","34310","34400"
"In post","2023","Declared disabled","East Midlands (England)","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Outside London","SEO","235","230","42760","42140"
"In post","2023","Declared disabled","East Midlands (England)","Outside London","Unknown","360","330","30700","29050"
"In post","2023","Declared disabled","East of England","Outside London","AA","155","140","21820","21380"
"In post","2023","Declared disabled","East of England","Outside London","AO","690","615","25720","24070"
"In post","2023","Declared disabled","East of England","Outside London","EO","1000","900","29530","28120"
"In post","2023","Declared disabled","East of England","Outside London","G6","30","30","72810","70880"
"In post","2023","Declared disabled","East of England","Outside London","G7","90","80","57760","57970"
"In post","2023","Declared disabled","East of England","Outside London","HEO","370","350","35160","34300"
"In post","2023","Declared disabled","East of England","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","East of England","Outside London","SEO","225","210","44320","42750"
"In post","2023","Declared disabled","East of England","Outside London","Unknown","355","325","29610","29050"
"In post","2023","Declared disabled","London","London","AA","160","145","24290","23500"
"In post","2023","Declared disabled","London","London","AO","1205","1100","27010","25610"
"In post","2023","Declared disabled","London","London","EO","2415","2240","31610","32260"
"In post","2023","Declared disabled","London","London","G6","735","705","71030","70300"
"In post","2023","Declared disabled","London","London","G7","1745","1690","58480","56530"
"In post","2023","Declared disabled","London","London","HEO","2080","2030","36620","36180"
"In post","2023","Declared disabled","London","London","SCS level","335","325","93420","84160"
"In post","2023","Declared disabled","London","London","SEO","1455","1410","44470","43650"
"In post","2023","Declared disabled","London","London","Unknown","455","435","36290","33820"
"In post","2023","Declared disabled","North East (England)","Outside London","AA","110","90","21690","22520"
"In post","2023","Declared disabled","North East (England)","Outside London","AO","1585","1340","22620","21780"
"In post","2023","Declared disabled","North East (England)","Outside London","EO","1195","1055","28040","28120"
"In post","2023","Declared disabled","North East (England)","Outside London","G6","65","65","68720","67150"
"In post","2023","Declared disabled","North East (England)","Outside London","G7","220","210","54240","53380"
"In post","2023","Declared disabled","North East (England)","Outside London","HEO","565","530","33890","34170"
