"Status","Year","Organisation","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","AA","35","35","23910","24890"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","EO","45","40","31120","31940"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","G7","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","HEO","25","25","37250","38330"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Unknown","Outside London","SEO","10","10","47530","49860"
"In post","2023","Active Travel England","Communications","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Communications","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Digital, Data and Technology","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Economics","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Human Resources","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Operational Delivery","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Other","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Planning","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Policy","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Project Delivery","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Science and Engineering","Outside London","SEO","10","10","40030","39430"
"In post","2023","Active Travel England","Statistics","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","London","HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Communications","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","EO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","G7","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","HEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","SEO","10","10","50270","49390"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","HEO","10","10","33790","33110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","SEO","10","10","44710","45070"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Outside London","EO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Finance","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","SEO","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","G7","[c]","[c]","[c]","[c]"
