"Status","Year","Disability","Function_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","Derby","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","Nottingham","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","Suffolk CC","25","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","London","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","London","Barnet","[c]","[c]","[c]","[c]"
