"Status","Year","Disability","Region_ITL2","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Outside London","AA/AO","135","120","25360","24360"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Outside London","EO","235","210","30160","31280"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Outside London","G6/G7","35","35","65590","62350"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","110","100","40400","39140"
"In post","2023","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Unknown","90","80","31650","30810"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","315","295","26970","25340"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","315","295","30300","28540"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","70","65","61320","58880"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","280","265","39050","37520"
"In post","2023","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","130","125","31780","29050"
"In post","2023","Declared disabled","Cheshire","Outside London","AA/AO","165","145","23900","22150"
"In post","2023","Declared disabled","Cheshire","Outside London","EO","170","150","29230","28120"
"In post","2023","Declared disabled","Cheshire","Outside London","G6/G7","40","35","57640","54760"
"In post","2023","Declared disabled","Cheshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cheshire","Outside London","SEO/HEO","115","110","38970","38640"
"In post","2023","Declared disabled","Cheshire","Outside London","Unknown","60","55","29490","27130"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Outside London","AA/AO","105","90","21870","21690"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Outside London","EO","85","75","28020","28120"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Outside London","SEO/HEO","40","35","36470","34170"
"In post","2023","Declared disabled","Cornwall and Isles of Scilly","Outside London","Unknown","25","25","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Outside London","AA/AO","155","140","22380","22150"
"In post","2023","Declared disabled","Cumbria","Outside London","EO","85","75","27390","28090"
"In post","2023","Declared disabled","Cumbria","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Cumbria","Outside London","SEO/HEO","60","55","36080","34170"
"In post","2023","Declared disabled","Cumbria","Outside London","Unknown","40","35","36790","32830"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Outside London","AA/AO","570","510","23660","22500"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Outside London","EO","575","520","28060","28120"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Outside London","G6/G7","140","130","59420","57970"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","500","475","37160","35000"
"In post","2023","Declared disabled","Derbyshire and Nottinghamshire","Outside London","Unknown","190","175","30170","29050"
"In post","2023","Declared disabled","Devon","Outside London","AA/AO","395","335","23470","22040"
"In post","2023","Declared disabled","Devon","Outside London","EO","350","315","28300","28120"
"In post","2023","Declared disabled","Devon","Outside London","G6/G7","75","75","54360","50160"
"In post","2023","Declared disabled","Devon","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Devon","Outside London","SEO/HEO","320","300","37560","37420"
"In post","2023","Declared disabled","Devon","Outside London","Unknown","95","85","31690","29050"
"In post","2023","Declared disabled","Dorset and Somerset","Outside London","AA/AO","225","210","24240","22220"
"In post","2023","Declared disabled","Dorset and Somerset","Outside London","EO","220","200","28460","28120"
"In post","2023","Declared disabled","Dorset and Somerset","Outside London","G6/G7","35","30","57430","55470"
"In post","2023","Declared disabled","Dorset and Somerset","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Dorset and Somerset","Outside London","SEO/HEO","185","175","38320","36800"
"In post","2023","Declared disabled","Dorset and Somerset","Outside London","Unknown","85","75","30140","29050"
"In post","2023","Declared disabled","East Anglia","Outside London","AA/AO","550","490","25000","22520"
"In post","2023","Declared disabled","East Anglia","Outside London","EO","470","420","28630","28120"
"In post","2023","Declared disabled","East Anglia","Outside London","G6/G7","55","55","59400","56310"
"In post","2023","Declared disabled","East Anglia","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Anglia","Outside London","SEO/HEO","400","380","38090","35200"
"In post","2023","Declared disabled","East Anglia","Outside London","Unknown","180","165","28920","26840"
"In post","2023","Declared disabled","East Wales","Outside London","AA/AO","550","490","23120","22520"
"In post","2023","Declared disabled","East Wales","Outside London","EO","505","465","28090","28120"
"In post","2023","Declared disabled","East Wales","Outside London","G6/G7","220","210","59440","57970"
"In post","2023","Declared disabled","East Wales","Outside London","SCS level","20","20","[c]","[c]"
"In post","2023","Declared disabled","East Wales","Outside London","SEO/HEO","620","590","37530","36930"
"In post","2023","Declared disabled","East Wales","Outside London","Unknown","110","100","31390","30420"
"In post","2023","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","AA/AO","225","195","24250","22220"
"In post","2023","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","EO","225","200","28720","28120"
"In post","2023","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","SEO/HEO","85","80","37410","34850"
"In post","2023","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","85","80","30830","29050"
"In post","2023","Declared disabled","Eastern Scotland","Outside London","AA/AO","595","540","23650","22520"
"In post","2023","Declared disabled","Eastern Scotland","Outside London","EO","725","665","30310","29100"
"In post","2023","Declared disabled","Eastern Scotland","Outside London","G6/G7","260","250","64130","65280"
"In post","2023","Declared disabled","Eastern Scotland","Outside London","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Eastern Scotland","Outside London","SEO/HEO","630","600","40100","38470"
"In post","2023","Declared disabled","Eastern Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Essex","Outside London","AA/AO","160","140","24770","25600"
"In post","2023","Declared disabled","Essex","Outside London","EO","295","270","30450","31280"
"In post","2023","Declared disabled","Essex","Outside London","G6/G7","25","20","[c]","[c]"
"In post","2023","Declared disabled","Essex","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Essex","Outside London","SEO/HEO","85","80","38830","37520"
"In post","2023","Declared disabled","Essex","Outside London","Unknown","85","80","28960","29050"
