"Status","Year","Age","Disability","Ethnicity","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Asian","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Devon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Essex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Asian","West Midlands","[c]","[c]","[c]","[c]"
