"Status","Year","Age","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Declared disabled","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Debt","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Digital, Data & Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Declared disabled","Finance","London","[c]","[c]","[c]","[c]"
