"Status","Year","Age","Ethnicity","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cheshire","Warrington","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Dorset and Somerset","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Eastern Scotland","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Eastern Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Eastern Scotland","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Eastern Scotland","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Essex","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Essex","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Greater Manchester","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Greater Manchester","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Greater Manchester","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Greater Manchester","Greater Manchester South West","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Greater Manchester","Manchester","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Hampshire and Isle of Wight","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Hampshire and Isle of Wight","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Hampshire and Isle of Wight","Southampton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Highlands and Islands","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Inner London - East","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Inner London - East","Lambeth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Inner London - East","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Inner London - East","Tower Hamlets","5","5","[c]","[c]"
"In post","2023","16-19","Asian","Inner London - West","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Inner London - West","Westminster","15","15","[c]","[c]"
"In post","2023","16-19","Asian","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Kent","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Lancashire","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Lancashire","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Lancashire","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","[c]","[c]","[c]","[c]"
