"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","East Wales","Cardiff and Vale of Glamorgan","10","10","43200","38760"
"In post","2023","Analysis","Digital, Data and Technology","East Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Eastern Scotland","City of Edinburgh","10","10","43060","39590"
"In post","2023","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","20","20","45280","41710"
"In post","2023","Analysis","Digital, Data and Technology","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - East","Tower Hamlets","60","55","48090","43650"
"In post","2023","Analysis","Digital, Data and Technology","Inner London - West","Westminster","30","30","50890","45040"
"In post","2023","Analysis","Digital, Data and Technology","Merseyside","Liverpool","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northern Ireland","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Northumberland, and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Outer London - South","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","South Yorkshire","Sheffield","15","15","42240","39090"
"In post","2023","Analysis","Digital, Data and Technology","West Central Scotland","Glasgow City","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
