"Status","Year","Parent_department","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","30","25","58010","55470"
"In post","2023","Attorney General's Departments","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","Outside London","130","125","41590","33750"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","London","10","10","38920","25600"
"In post","2023","Attorney General's Departments","Birmingham","Outside London","540","510","40770","38760"
"In post","2023","Attorney General's Departments","Blackburn with Darwen","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Brighton and Hove","Outside London","120","115","40800","30560"
"In post","2023","Attorney General's Departments","Bristol, City of","Outside London","235","220","43730","49050"
"In post","2023","Attorney General's Departments","Bromley","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Buckinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Calderdale and Kirklees","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cambridgeshire CC","Outside London","20","20","42930","49050"
"In post","2023","Attorney General's Departments","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cardiff and Vale of Glamorgan","Outside London","235","215","41220","38760"
"In post","2023","Attorney General's Departments","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire East","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Conwy and Denbighshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","30","25","37220","30020"
"In post","2023","Attorney General's Departments","Croydon","London","50","50","38550","32630"
"In post","2023","Attorney General's Departments","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon CC","Outside London","110","105","40930","38940"
"In post","2023","Attorney General's Departments","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Durham","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Ealing","London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Cumbria","Outside London","30","25","41550","42030"
"In post","2023","Attorney General's Departments","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Kent","Outside London","130","120","40720","34730"
"In post","2023","Attorney General's Departments","East Merseyside","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Flintshire and Wrexham","Outside London","95","85","40810","38940"
"In post","2023","Attorney General's Departments","Gloucestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester South East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester South West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Gwent Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Haringey and Islington","London","10","10","40910","25600"
"In post","2023","Attorney General's Departments","Harrow and Hillingdon","London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Heart of Essex","Outside London","210","195","42840","38460"
"In post","2023","Attorney General's Departments","Herefordshire, County of","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Hertfordshire CC","Outside London","195","175","44840","41340"
"In post","2023","Attorney General's Departments","Hounslow and Richmond upon Thames","London","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Kingston upon Hull, City of","Outside London","80","75","39810","33810"
"In post","2023","Attorney General's Departments","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Leeds","Outside London","565","525","44240","49050"
"In post","2023","Attorney General's Departments","Leicester","Outside London","155","145","38230","32520"
"In post","2023","Attorney General's Departments","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Lewisham and Southwark","London","10","10","30230","25600"
"In post","2023","Attorney General's Departments","Lincolnshire CC","Outside London","20","20","46990","56450"
"In post","2023","Attorney General's Departments","Liverpool","Outside London","420","405","37820","31180"
"In post","2023","Attorney General's Departments","Luton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Manchester","Outside London","400","370","41040","35000"
"In post","2023","Attorney General's Departments","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Mid Kent","Outside London","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Mid Lancashire","Outside London","195","185","40980","38850"
"In post","2023","Attorney General's Departments","Monmouthshire and Newport","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North Yorkshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North and North East Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Northumberland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Norwich and East Norfolk","Outside London","95","85","35910","28000"
"In post","2023","Attorney General's Departments","Nottingham","Outside London","315","295","37990","31180"
"In post","2023","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Peterborough","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Portsmouth","Outside London","125","120","41710","30560"
"In post","2023","Attorney General's Departments","Redbridge and Waltham Forest","London","10","10","39090","25600"
"In post","2023","Attorney General's Departments","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Sheffield","Outside London","160","145","35740","28850"
"In post","2023","Attorney General's Departments","Shropshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Somerset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South Hampshire","Outside London","170","160","44810","40800"
"In post","2023","Attorney General's Departments","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South Teesside","Outside London","105","95","39810","33300"
"In post","2023","Attorney General's Departments","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South and West Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Staffordshire CC","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Stoke-on-Trent","Outside London","70","65","42220","38850"
"In post","2023","Attorney General's Departments","Suffolk CC","Outside London","35","35","40490","34280"
"In post","2023","Attorney General's Departments","Swansea","Outside London","95","90","40760","38940"
"In post","2023","Attorney General's Departments","Swindon","Outside London","15","10","36820","35000"
"In post","2023","Attorney General's Departments","Telford and Wrekin","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Tyneside","Outside London","280","260","39070","31740"
"In post","2023","Attorney General's Departments","Wakefield","Outside London","70","65","37010","31180"
"In post","2023","Attorney General's Departments","Walsall","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Warrington","Outside London","15","15","57720","59690"
"In post","2023","Attorney General's Departments","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Northamptonshire","Outside London","15","15","42030","43910"
"In post","2023","Attorney General's Departments","West Surrey","Outside London","80","75","45490","40800"
"In post","2023","Attorney General's Departments","West Sussex (North East)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Sussex (South West)","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Westminster","London","4705","4445","51400","52790"
"In post","2023","Attorney General's Departments","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wolverhampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Worcestershire CC","Outside London","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","York","Outside London","160","150","43760","38940"
"In post","2023","Cabinet Office","Ards and North Down","Outside London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Armagh City, Banbridge and Craigavon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","45","45","70950","66270"
"In post","2023","Cabinet Office","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Belfast","Outside London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Berkshire","Outside London","15","15","39860","34320"
"In post","2023","Cabinet Office","Birmingham","Outside London","265","265","51680","40000"
"In post","2023","Cabinet Office","Blackpool","Outside London","45","45","56130","56000"
"In post","2023","Cabinet Office","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Bristol, City of","Outside London","195","190","50200","51020"
"In post","2023","Cabinet Office","Buckinghamshire","Outside London","10","10","53170","65970"
"In post","2023","Cabinet Office","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Cambridgeshire CC","Outside London","10","10","52720","55050"
"In post","2023","Cabinet Office","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Cardiff and Vale of Glamorgan","Outside London","85","85","41310","34280"
"In post","2023","Cabinet Office","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Central Hampshire","Outside London","50","50","63000","66270"
"In post","2023","Cabinet Office","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","City of Edinburgh","Outside London","30","30","36350","30130"
"In post","2023","Cabinet Office","Coventry","Outside London","10","10","77040","71930"
"In post","2023","Cabinet Office","Croydon","London","30","25","67530","68090"
"In post","2023","Cabinet Office","Darlington","Outside London","15","15","60620","65500"
"In post","2023","Cabinet Office","Devon CC","Outside London","10","10","63770","68080"
"In post","2023","Cabinet Office","Dorset","Outside London","10","10","[c]","[c]"
"In post","2023","Cabinet Office","Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","East Merseyside","Outside London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Glasgow City","Outside London","435","425","39650","33020"
"In post","2023","Cabinet Office","Gloucestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Greater Manchester South East","Outside London","5","5","[c]","[c]"
"In post","2023","Cabinet Office","Greater Manchester South West","Outside London","170","165","44710","38460"
"In post","2023","Cabinet Office","Hackney and Newham","London","40","40","38820","31540"
"In post","2023","Cabinet Office","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Hertfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Lambeth","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Lancaster and Wyre","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Leeds","Outside London","275","270","51240","51290"
"In post","2023","Cabinet Office","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Leicestershire CC and Rutland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Lincolnshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Liverpool","Outside London","475","465","42500","40450"
"In post","2023","Cabinet Office","Manchester","Outside London","330","325","50640","51290"
"In post","2023","Cabinet Office","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Cabinet Office","Milton Keynes","Outside London","70","70","37340","34320"
"In post","2023","Cabinet Office","Monmouthshire and Newport","Outside London","140","135","40230","38340"
"In post","2023","Cabinet Office","North Hampshire","Outside London","30","25","43910","38230"
"In post","2023","Cabinet Office","North Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
