"Status","Year","Ethnicity","Region_ITL1","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","Heterosexual / straight","860","810","32410","28130"
"In post","2023","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","Undeclared","40","35","30760","28120"
"In post","2023","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","125","110","30800","28120"
"In post","2023","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","835","760","27150","25830"
"In post","2023","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","LGBO","20","20","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Undeclared","60","55","26650","22500"
"In post","2023","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","85","70","27500","28080"
"In post","2023","Asian","East Midlands (England)","Lincolnshire","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","Bedfordshire and Hertfordshire","Heterosexual / straight","545","505","33480","31280"
"In post","2023","Asian","East of England","Bedfordshire and Hertfordshire","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","East of England","Bedfordshire and Hertfordshire","Undeclared","40","35","29290","27180"
"In post","2023","Asian","East of England","Bedfordshire and Hertfordshire","Unknown","60","50","35400","30790"
"In post","2023","Asian","East of England","East Anglia","Heterosexual / straight","340","305","29430","26140"
"In post","2023","Asian","East of England","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","East Anglia","Undeclared","30","25","[c]","[c]"
"In post","2023","Asian","East of England","East Anglia","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","East of England","Essex","Heterosexual / straight","155","150","35180","31280"
"In post","2023","Asian","East of England","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","Essex","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","East of England","Essex","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","London","Inner London - East","Heterosexual / straight","2510","2390","40350","35410"
"In post","2023","Asian","London","Inner London - East","LGBO","70","70","40660","38260"
"In post","2023","Asian","London","Inner London - East","Undeclared","145","135","39880","34370"
"In post","2023","Asian","London","Inner London - East","Unknown","405","380","39940","34390"
"In post","2023","Asian","London","Inner London - West","Heterosexual / straight","5645","5490","44580","41260"
"In post","2023","Asian","London","Inner London - West","LGBO","200","200","46140","41950"
"In post","2023","Asian","London","Inner London - West","Undeclared","325","310","43110","41060"
"In post","2023","Asian","London","Inner London - West","Unknown","405","385","42150","35410"
"In post","2023","Asian","London","Outer London - East and North East","Heterosexual / straight","675","615","31640","32520"
"In post","2023","Asian","London","Outer London - East and North East","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","London","Outer London - East and North East","Undeclared","55","50","29120","30500"
"In post","2023","Asian","London","Outer London - East and North East","Unknown","135","110","29330","29790"
"In post","2023","Asian","London","Outer London - South","Heterosexual / straight","1620","1530","37390","32540"
"In post","2023","Asian","London","Outer London - South","LGBO","25","25","[c]","[c]"
"In post","2023","Asian","London","Outer London - South","Undeclared","150","135","33930","30410"
"In post","2023","Asian","London","Outer London - South","Unknown","115","105","39600","39080"
"In post","2023","Asian","London","Outer London - West and North West","Heterosexual / straight","2120","1950","33520","31380"
"In post","2023","Asian","London","Outer London - West and North West","LGBO","40","35","31810","32520"
"In post","2023","Asian","London","Outer London - West and North West","Undeclared","195","175","32070","30410"
"In post","2023","Asian","London","Outer London - West and North West","Unknown","195","175","37510","32520"
"In post","2023","Asian","North East (England)","Northumberland, and Tyne and Wear","Heterosexual / straight","440","420","31310","28120"
"In post","2023","Asian","North East (England)","Northumberland, and Tyne and Wear","LGBO","20","15","[c]","[c]"
"In post","2023","Asian","North East (England)","Northumberland, and Tyne and Wear","Undeclared","25","25","[c]","[c]"
"In post","2023","Asian","North East (England)","Northumberland, and Tyne and Wear","Unknown","40","35","28490","22520"
"In post","2023","Asian","North East (England)","Tees Valley and Durham","Heterosexual / straight","135","120","31010","28120"
"In post","2023","Asian","North East (England)","Tees Valley and Durham","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North East (England)","Tees Valley and Durham","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","North East (England)","Tees Valley and Durham","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","North West (England)","Cheshire","Heterosexual / straight","80","75","31700","30530"
"In post","2023","Asian","North West (England)","Cheshire","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","North West (England)","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North West (England)","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North West (England)","Cumbria","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Asian","North West (England)","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North West (England)","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North West (England)","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North West (England)","Greater Manchester","Heterosexual / straight","1660","1585","32290","28120"
"In post","2023","Asian","North West (England)","Greater Manchester","LGBO","55","55","30180","28120"
"In post","2023","Asian","North West (England)","Greater Manchester","Undeclared","85","80","29510","27890"
"In post","2023","Asian","North West (England)","Greater Manchester","Unknown","165","150","30120","28120"
"In post","2023","Asian","North West (England)","Lancashire","Heterosexual / straight","955","865","27530","25340"
"In post","2023","Asian","North West (England)","Lancashire","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","North West (England)","Lancashire","Undeclared","50","45","25420","22520"
