"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","16-19","Communications","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","AA/AO","AO","10","10","22360","21690"
"In post","2023","16-19","Digital, Data and Technology","EO","EO","15","15","28060","28120"
"In post","2023","16-19","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","EO","EO","30","30","26510","25490"
"In post","2023","16-19","Finance","AA/AO","AO","30","30","21320","20040"
"In post","2023","16-19","Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","AA/AO","AO","20","20","22200","22190"
"In post","2023","16-19","Human Resources","EO","EO","5","5","[c]","[c]"
"In post","2023","16-19","International Trade","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","AA/AO","AA","170","160","22060","23230"
"In post","2023","16-19","Operational Delivery","AA/AO","AO","645","625","24000","22520"
"In post","2023","16-19","Operational Delivery","EO","EO","50","50","27180","25910"
"In post","2023","16-19","Operational Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Unknown","Unknown","35","30","20180","19090"
"In post","2023","16-19","Operational Research","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","16-19","Operational Research","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","AA/AO","AA","15","15","19440","19770"
"In post","2023","16-19","Other","AA/AO","AO","25","25","21520","21690"
"In post","2023","16-19","Other","Unknown","Unknown","30","30","19860","17650"
"In post","2023","16-19","Policy","AA/AO","AO","10","10","23010","21690"
"In post","2023","16-19","Policy","EO","EO","15","15","26230","25830"
"In post","2023","16-19","Policy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","EO","EO","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","AA/AO","AO","15","15","22260","22520"
"In post","2023","16-19","Property","EO","EO","5","5","[c]","[c]"
"In post","2023","16-19","Property","Unknown","Unknown","15","15","23420","22750"
"In post","2023","16-19","Psychology","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","AA/AO","AA","20","20","17820","18960"
"In post","2023","16-19","Science and Engineering","AA/AO","AO","75","75","20040","18780"
"In post","2023","16-19","Science and Engineering","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Unknown","Unknown","15","15","18580","18280"
"In post","2023","16-19","Security","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Research","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","EO","EO","5","5","[c]","[c]"
"In post","2023","16-19","Tax","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","16-19","Tax","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","AA","45","45","22580","22180"
"In post","2023","16-19","Unknown","AA/AO","AO","35","30","23500","22520"
"In post","2023","16-19","Unknown","EO","EO","15","15","26210","24610"
"In post","2023","16-19","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Veterinarian","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","AA/AO","AO","110","110","23700","22320"
"In post","2023","20-29","Commercial","EO","EO","220","215","27310","27140"
"In post","2023","20-29","Commercial","G6/G7","G6","15","15","71850","72500"
"In post","2023","20-29","Commercial","G6/G7","G7","100","100","59720","56200"
"In post","2023","20-29","Commercial","SEO/HEO","HEO","435","435","33030","32730"
"In post","2023","20-29","Commercial","SEO/HEO","SEO","215","215","41020","41550"
"In post","2023","20-29","Commercial","Unknown","Unknown","30","30","31730","28490"
"In post","2023","20-29","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Communications","AA/AO","AO","35","35","23440","22520"
"In post","2023","20-29","Communications","EO","EO","155","155","27970","27840"
"In post","2023","20-29","Communications","G6/G7","G7","55","55","55160","55370"
"In post","2023","20-29","Communications","SEO/HEO","HEO","365","365","35190","35010"
"In post","2023","20-29","Communications","SEO/HEO","SEO","190","190","42800","42710"
