"Status","Year","Disability","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","AA/AO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","EO","25","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","G6/G7","50","45","58640","55510"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Attorney General's Departments","SEO/HEO","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cabinet Office","SEO/HEO","65","65","34100","33020"
"In post","2023","Declared disabled","Asian","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","AA/AO","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","EO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","G6/G7","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","SEO/HEO","40","40","38160","37850"
"In post","2023","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
