"Status","Year","Disability","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","130","125","43440","42620"
"In post","2023","Declared disabled","Commercial","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Birmingham","Outside London","20","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Blackpool","Outside London","30","30","41260","38470"
"In post","2023","Declared disabled","Commercial","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Brent","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Bristol, City of","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Buckinghamshire","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cambridgeshire CC","Outside London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cardiff and Vale of Glamorgan","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Central Hampshire","Outside London","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cheshire West and Chester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Chorley and West Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Croydon","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Darlington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Devon CC","Outside London","5","5","[c]","[c]"
