"Status","Year","Disability","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","EO","55","50","25800","25160"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","HEO","85","80","33220","32110"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","AO","150","140","23050","22150"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","EO","115","115","26860","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","G7","25","20","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","HEO","75","70","31610","30320"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","SEO","45","40","39380","38210"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","London","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Building Digital UK","London","G6","[c]","[c]","[c]","[c]"
