"Status","Year","Function_of_post","Parent_department","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Human Resources","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Other","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Other","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Project Delivery","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Statistics","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","Inner London - West","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Digital, Data and Technology","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Economics","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Economics","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Economics","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Inner London - East","10","10","30150","30130"
"In post","2023","Analysis","Cabinet Office","Statistics","Inner London - West","70","70","32410","30130"
"In post","2023","Analysis","Cabinet Office","Statistics","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Statistics","West Central Scotland","5","5","[c]","[c]"
