"Status","Year","Age","Region_ITL1","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Lincolnshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Lincolnshire","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","East of England","Bedfordshire and Hertfordshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","East of England","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","East Anglia","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","East of England","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","East Anglia","Unknown","20","15","[c]","[c]"
"In post","2023","16-19","East of England","Essex","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","East of England","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Essex","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","London","Inner London - East","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","London","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Inner London - East","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","London","Inner London - West","Heterosexual / straight","45","45","26460","26840"
"In post","2023","16-19","London","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Inner London - West","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","London","Outer London - East and North East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Outer London - East and North East","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Outer London - South","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Outer London - South","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Outer London - South","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","London","Outer London - West and North West","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","London","Outer London - West and North West","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Outer London - West and North West","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","North East (England)","Northumberland, and Tyne and Wear","Heterosexual / straight","30","25","[c]","[c]"
"In post","2023","16-19","North East (England)","Northumberland, and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","Northumberland, and Tyne and Wear","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","Northumberland, and Tyne and Wear","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","North East (England)","Tees Valley and Durham","Heterosexual / straight","20","15","[c]","[c]"
"In post","2023","16-19","North East (England)","Tees Valley and Durham","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","Tees Valley and Durham","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","North West (England)","Cheshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Cheshire","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","North West (England)","Cumbria","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","North West (England)","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Greater Manchester","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","North West (England)","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Greater Manchester","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","North West (England)","Lancashire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","North West (England)","Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Lancashire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Lancashire","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","North West (England)","Merseyside","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","North West (England)","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Merseyside","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North West (England)","Merseyside","Unknown","30","25","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","Eastern Scotland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Scotland","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","Eastern Scotland","Unknown","25","25","[c]","[c]"
"In post","2023","16-19","Scotland","Highlands and Islands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","Highlands and Islands","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","Highlands and Islands","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Scotland","North Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","North Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","North Eastern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","North Eastern Scotland","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Scotland","Southern Scotland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Scotland","Southern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","Southern Scotland","Unknown","25","20","[c]","[c]"
"In post","2023","16-19","Scotland","West Central Scotland","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Scotland","West Central Scotland","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Scotland","West Central Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","West Central Scotland","Unknown","25","25","[c]","[c]"
"In post","2023","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","20","20","[c]","[c]"
"In post","2023","16-19","South East (England)","Hampshire and Isle of Wight","Heterosexual / straight","35","35","23310","23230"
"In post","2023","16-19","South East (England)","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South East (England)","Hampshire and Isle of Wight","Unknown","20","15","[c]","[c]"
"In post","2023","16-19","South East (England)","Kent","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","South East (England)","Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South East (England)","Kent","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South East (England)","Kent","Unknown","35","35","23370","22400"
"In post","2023","16-19","South East (England)","Surrey, East and West Sussex","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","South East (England)","Surrey, East and West Sussex","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South East (England)","Surrey, East and West Sussex","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South East (England)","Surrey, East and West Sussex","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","South West (England)","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Devon","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","16-19","South West (England)","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Devon","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","South West (England)","Dorset and Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Dorset and Somerset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","75","75","21670","20800"
"In post","2023","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","15","15","[c]","[c]"
"In post","2023","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","5","5","[c]","[c]"
"In post","2023","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","65","65","19270","18780"
"In post","2023","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","35","35","20430","17650"
"In post","2023","16-19","Wales","East Wales","Heterosexual / straight","40","40","21920","22340"
"In post","2023","16-19","Wales","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Wales","East Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Wales","East Wales","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Wales","West Wales and The Valleys","Heterosexual / straight","55","50","21430","21690"
