"Status","Year","Disability","Ethnicity","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","Bedford","15","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","55","50","36620","31360"
"In post","2023","Declared disabled","Asian","Bedfordshire and Hertfordshire","Luton","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","35","30","30940","31280"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","15","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cheshire","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cheshire","Warrington","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Derbyshire and Nottinghamshire","Derby","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Derbyshire and Nottinghamshire","North Nottinghamshire","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Derbyshire and Nottinghamshire","Nottingham","85","80","31090","28130"
"In post","2023","Declared disabled","Asian","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Devon","Torbay","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Dorset and Somerset","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Dorset and Somerset","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Anglia","Cambridgeshire CC","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Anglia","Peterborough","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Anglia","Suffolk CC","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Wales","Cardiff and Vale of Glamorgan","25","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Wales","Powys","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Eastern Scotland","Angus and Dundee City","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Eastern Scotland","City of Edinburgh","20","20","[c]","[c]"
"In post","2023","Declared disabled","Asian","Eastern Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Eastern Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Eastern Scotland","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Eastern Scotland","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Eastern Scotland","West Lothian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Essex","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Essex","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Essex","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Essex","Thurrock","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Essex","West Essex","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","30","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","20","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Greater Manchester","Greater Manchester North East","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Greater Manchester","Greater Manchester North West","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Greater Manchester","Greater Manchester South East","10","10","[c]","[c]"
"In post","2023","Declared disabled","Asian","Greater Manchester","Greater Manchester South West","80","75","31490","28130"
"In post","2023","Declared disabled","Asian","Greater Manchester","Manchester","65","65","32110","28950"
"In post","2023","Declared disabled","Asian","Hampshire and Isle of Wight","Central Hampshire","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Hampshire and Isle of Wight","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Hampshire and Isle of Wight","Portsmouth","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Hampshire and Isle of Wight","South Hampshire","10","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Hampshire and Isle of Wight","Southampton","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","15","15","[c]","[c]"
"In post","2023","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","5","5","[c]","[c]"
"In post","2023","Declared disabled","Asian","Highlands and Islands","Caithness and Sutherland, and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Highlands and Islands","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Highlands and Islands","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Highlands and Islands","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Asian","Inner London - East","Hackney and Newham","155","145","39060","33900"
"In post","2023","Declared disabled","Asian","Inner London - East","Haringey and Islington","25","25","[c]","[c]"
"In post","2023","Declared disabled","Asian","Inner London - East","Lambeth","25","25","[c]","[c]"
