"Status","Year","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Bedfordshire and Hertfordshire","AA/AO","AA","Heterosexual / straight","180","165","22280","23230"
"In post","2023","Bedfordshire and Hertfordshire","AA/AO","AA","LGBO","15","15","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","AA/AO","AA","Undeclared","25","25","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","AA/AO","AA","Unknown","40","35","22830","23230"
"In post","2023","Bedfordshire and Hertfordshire","AA/AO","AO","Heterosexual / straight","685","640","27190","25610"
"In post","2023","Bedfordshire and Hertfordshire","AA/AO","AO","LGBO","50","45","28740","30880"
"In post","2023","Bedfordshire and Hertfordshire","AA/AO","AO","Undeclared","90","75","26470","25540"
"In post","2023","Bedfordshire and Hertfordshire","AA/AO","AO","Unknown","165","145","27180","25610"
"In post","2023","Bedfordshire and Hertfordshire","EO","EO","Heterosexual / straight","1035","955","30080","30200"
"In post","2023","Bedfordshire and Hertfordshire","EO","EO","LGBO","50","50","30470","31280"
"In post","2023","Bedfordshire and Hertfordshire","EO","EO","Undeclared","135","125","30390","30120"
"In post","2023","Bedfordshire and Hertfordshire","EO","EO","Unknown","260","230","29660","29640"
"In post","2023","Bedfordshire and Hertfordshire","G6/G7","G6","Heterosexual / straight","90","90","70240","69350"
"In post","2023","Bedfordshire and Hertfordshire","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","G6/G7","G6","Undeclared","10","10","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","G6/G7","G6","Unknown","10","10","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","G6/G7","G7","Heterosexual / straight","240","230","59240","56060"
"In post","2023","Bedfordshire and Hertfordshire","G6/G7","G7","LGBO","15","15","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","G6/G7","G7","Undeclared","30","25","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","G6/G7","G7","Unknown","55","55","59610","59530"
"In post","2023","Bedfordshire and Hertfordshire","SCS level","SCS level","Heterosexual / straight","35","35","88920","85000"
"In post","2023","Bedfordshire and Hertfordshire","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","SEO/HEO","HEO","Heterosexual / straight","470","455","36440","36960"
"In post","2023","Bedfordshire and Hertfordshire","SEO/HEO","HEO","LGBO","25","25","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","SEO/HEO","HEO","Undeclared","60","60","36620","35700"
"In post","2023","Bedfordshire and Hertfordshire","SEO/HEO","HEO","Unknown","65","60","37320","37740"
"In post","2023","Bedfordshire and Hertfordshire","SEO/HEO","SEO","Heterosexual / straight","355","345","44360","43760"
"In post","2023","Bedfordshire and Hertfordshire","SEO/HEO","SEO","LGBO","15","15","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","SEO/HEO","SEO","Undeclared","60","55","44560","45540"
"In post","2023","Bedfordshire and Hertfordshire","SEO/HEO","SEO","Unknown","55","50","44290","45060"
"In post","2023","Bedfordshire and Hertfordshire","Unknown","Unknown","Heterosexual / straight","325","305","30830","29050"
"In post","2023","Bedfordshire and Hertfordshire","Unknown","Unknown","LGBO","20","20","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","Unknown","Unknown","Undeclared","25","20","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","Unknown","Unknown","Unknown","75","70","27650","26840"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AA","Heterosexual / straight","345","325","21880","21380"
"In post","2023","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AA","LGBO","25","25","[c]","[c]"
