"Status","Year","Function_of_post","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","EO","LGBO","[c]","[c]","[c]","[c]"
