"Status","Year","Function_of_post","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Department for Digital, Culture, Media and Sport","Unknown","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Heterosexual / straight","35","35","33140","32960"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Cabinet Office","Unknown","65","65","29740","28840"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Heterosexual / straight","200","190","36370","30820"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","LGBO","20","20","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Undeclared","30","25","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","255","245","35690","30820"
"In post","2023","Analysis","Charity Commission","Charity Commission","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","Heterosexual / straight","110","105","63370","57540"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Heterosexual / straight","700","670","45440","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","LGBO","60","60","36480","39890"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Undeclared","15","15","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Unknown","275","270","44300","49260"
