"Status","Year","Disability","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Scottish Government","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","150","135","34150","32110"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","LGBO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Undeclared","15","15","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Heterosexual / straight","315","300","29910","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","LGBO","50","50","28020","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Undeclared","50","45","30220","28290"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","10","10","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
