"Status","Year","Function_of_post","Organisation","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East of England","LGBO","[c]","[c]","[c]","[c]"
