"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","AA/AO","Female","30","30","[c]","[c]"
"In post","2023","16-19","Asian","AA/AO","Male","45","45","22770","22520"
"In post","2023","16-19","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","EO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Asian","EO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","AA/AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Black","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","16-19","Mixed","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Mixed","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","Female","225","215","23240","22500"
"In post","2023","16-19","Unknown","AA/AO","Male","250","240","22560","22400"
"In post","2023","16-19","Unknown","EO","Female","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","EO","Male","30","30","26570","25750"
"In post","2023","16-19","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Female","25","25","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Male","35","35","19520","18120"
"In post","2023","16-19","White","AA/AO","Female","295","290","23270","22520"
"In post","2023","16-19","White","AA/AO","Male","280","275","22920","22520"
"In post","2023","16-19","White","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","EO","Female","50","50","27170","27150"
"In post","2023","16-19","White","EO","Male","40","40","26780","26780"
"In post","2023","16-19","White","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Unknown","Female","20","20","[c]","[c]"
"In post","2023","16-19","White","Unknown","Male","25","25","[c]","[c]"
"In post","2023","16-19","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
