"Status","Year","Disability","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","East Midlands (England)","Outside London","Female","2100","1875","30360","28120"
"In post","2023","Declared disabled","East Midlands (England)","Outside London","Male","1240","1170","30720","28120"
"In post","2023","Declared disabled","East Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","Outside London","Female","1820","1615","30920","28120"
"In post","2023","Declared disabled","East of England","Outside London","Male","1095","1035","32590","30810"
"In post","2023","Declared disabled","East of England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","London","London","Female","6365","5980","41900","36050"
"In post","2023","Declared disabled","London","London","Male","4225","4105","44810","39780"
"In post","2023","Declared disabled","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North East (England)","Outside London","Female","2715","2345","29230","28120"
"In post","2023","Declared disabled","North East (England)","Outside London","Male","1595","1485","30740","28120"
"In post","2023","Declared disabled","North East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","North West (England)","Outside London","Female","5445","4815","30390","28120"
"In post","2023","Declared disabled","North West (England)","Outside London","Male","3225","3045","31830","28120"
"In post","2023","Declared disabled","North West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Northern Ireland","Outside London","Female","215","195","33060","28130"
"In post","2023","Declared disabled","Northern Ireland","Outside London","Male","165","160","30290","27890"
"In post","2023","Declared disabled","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Overseas","Overseas","Female","75","75","48400","44650"
"In post","2023","Declared disabled","Overseas","Overseas","Male","115","115","49580","44770"
"In post","2023","Declared disabled","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Scotland","Outside London","Female","3185","2845","32450","28120"
"In post","2023","Declared disabled","Scotland","Outside London","Male","2135","2025","33970","29450"
"In post","2023","Declared disabled","Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South East (England)","Outside London","Female","3090","2770","31780","28480"
"In post","2023","Declared disabled","South East (England)","Outside London","Male","2285","2160","34180","31280"
"In post","2023","Declared disabled","South East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","South West (England)","Outside London","Female","3220","2910","33230","29570"
"In post","2023","Declared disabled","South West (England)","Outside London","Male","2700","2595","36870","33830"
"In post","2023","Declared disabled","South West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Unknown","Unknown","Female","75","65","34040","28120"
"In post","2023","Declared disabled","Unknown","Unknown","Male","45","45","34400","28120"
"In post","2023","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Wales","Outside London","Female","2695","2370","30030","28120"
"In post","2023","Declared disabled","Wales","Outside London","Male","1530","1455","32220","28120"
"In post","2023","Declared disabled","Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","West Midlands (England)","Outside London","Female","2810","2500","30680","28120"
"In post","2023","Declared disabled","West Midlands (England)","Outside London","Male","1635","1550","32550","28120"
"In post","2023","Declared disabled","West Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Yorkshire and The Humber","Outside London","Female","3110","2765","32000","28120"
