"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","London","AA/AO","Heterosexual / straight","45","45","24690","24520"
"In post","2023","Analysis","London","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Analysis","London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2023","Analysis","London","EO","Heterosexual / straight","235","230","29720","29660"
"In post","2023","Analysis","London","EO","LGBO","15","15","[c]","[c]"
"In post","2023","Analysis","London","EO","Undeclared","20","20","[c]","[c]"
"In post","2023","Analysis","London","EO","Unknown","85","80","30400","29890"
"In post","2023","Analysis","London","G6/G7","Heterosexual / straight","1290","1240","64050","61440"
"In post","2023","Analysis","London","G6/G7","LGBO","115","115","62620","60920"
"In post","2023","Analysis","London","G6/G7","Undeclared","155","145","64300","61530"
"In post","2023","Analysis","London","G6/G7","Unknown","205","200","61820","59530"
"In post","2023","Analysis","London","SCS level","Heterosexual / straight","130","125","90400","83030"
"In post","2023","Analysis","London","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","London","SCS level","Undeclared","10","5","[c]","[c]"
"In post","2023","Analysis","London","SCS level","Unknown","15","15","[c]","[c]"
"In post","2023","Analysis","London","SEO/HEO","Heterosexual / straight","1305","1280","40110","39450"
"In post","2023","Analysis","London","SEO/HEO","LGBO","155","155","39420","39110"
"In post","2023","Analysis","London","SEO/HEO","Undeclared","150","145","40320","39620"
"In post","2023","Analysis","London","SEO/HEO","Unknown","440","440","38540","37870"
"In post","2023","Analysis","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Outside London","AA/AO","Heterosexual / straight","100","95","22170","22150"
"In post","2023","Analysis","Outside London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2023","Analysis","Outside London","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2023","Analysis","Outside London","AA/AO","Unknown","40","35","22100","22150"
"In post","2023","Analysis","Outside London","EO","Heterosexual / straight","325","305","26610","25970"
"In post","2023","Analysis","Outside London","EO","LGBO","55","50","26380","25920"
"In post","2023","Analysis","Outside London","EO","Undeclared","30","30","[c]","[c]"
"In post","2023","Analysis","Outside London","EO","Unknown","150","140","26110","25920"
"In post","2023","Analysis","Outside London","G6/G7","Heterosexual / straight","1230","1165","56300","53190"
"In post","2023","Analysis","Outside London","G6/G7","LGBO","75","75","54680","51840"
"In post","2023","Analysis","Outside London","G6/G7","Undeclared","75","75","57160","54570"
"In post","2023","Analysis","Outside London","G6/G7","Unknown","340","330","55080","51770"
"In post","2023","Analysis","Outside London","SCS level","Heterosexual / straight","35","35","82750","78240"
"In post","2023","Analysis","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Outside London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","Analysis","Outside London","SEO/HEO","Heterosexual / straight","2215","2125","36430","37350"
"In post","2023","Analysis","Outside London","SEO/HEO","LGBO","290","285","35360","34330"
"In post","2023","Analysis","Outside London","SEO/HEO","Undeclared","210","205","36240","35020"
"In post","2023","Analysis","Outside London","SEO/HEO","Unknown","685","670","35470","36940"
"In post","2023","Analysis","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Unknown","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
